Gene	Sample	Skewed_XCI	Skewing_coeff	Num_snps	AR_raw	AR_adj
ARSD	7168C_XX	FALSE	0.59	2	0.614102564	0
SLC25A43	7168C_XX	FALSE	0.59	4	0.698335771	0.006645446
STS	7168C_XX	FALSE	0.59	2	0.349571078	0
FMR1	7168C_XX	FALSE	0.59	1	0.878787879	0.472295515
HUWE1	7168C_XX	FALSE	0.59	1	0.689393939	0
HTATSF1	7168C_XX	FALSE	0.59	1	0.91	0.585062241
MAGED2	7168C_XX	FALSE	0.59	4	0.904770213	0.565248559
SLC35A2	7168C_XX	FALSE	0.59	1	0.7	0.00990099
EDA2R	7168C_XX	FALSE	0.59	3	0.738644689	0.08984801
WDR44	7168C_XX	FALSE	0.59	4	0.744513217	0.102766781
MAMLD1	7168C_XX	FALSE	0.59	1	0.508474576	0
TMEM47	7168C_XX	FALSE	0.59	2	0.713564214	0.036992116
CHST7	7168C_XX	FALSE	0.59	1	0.571428571	0
DOCK11	7168C_XX	FALSE	0.59	2	0.486928105	0
AIFM1	7168C_XX	FALSE	0.59	1	0.636363636	0
PLS3	7168C_XX	FALSE	0.59	1	0.705128205	0.020025565
HDX	7168C_XX	FALSE	0.59	1	0.909090909	0.581589958
ZFX	7168C_XX	FALSE	0.59	5	0.793119551	0.218791329
AMOT	7168C_XX	FALSE	0.59	3	0.555602241	0
ELF4	7168C_XX	FALSE	0.59	1	0.634146341	0
HCFC1	7168C_XX	FALSE	0.59	1	0.704225352	0.018232819
MSL3	7168C_XX	FALSE	0.59	1	0.821428571	0.294781382
PABPC5	7168C_XX	FALSE	0.59	1	0.818181818	0.285714286
ZNF41	7168C_XX	FALSE	0.59	1	0.8125	0.270072993
AKAP17A	7168C_XX	FALSE	0.59	2	0.833870968	0.330429695
MAP7D3	7168C_XX	FALSE	0.59	5	0.472002283	0
SLC25A5	7168C_XX	FALSE	0.59	2	0.838109603	0.342910783
CA5B	7168C_XX	FALSE	0.59	4	0.810565476	0.264812045
FAM3A	7168C_XX	FALSE	0.59	1	0.456521739	0
USP9X	7168C_XX	FALSE	0.59	1	0.746666667	0.107562236
GTPBP6	7168C_XX	FALSE	0.59	1	0.875	0.459459459
MAGED1	7168C_XX	FALSE	0.59	1	0.4	0
ZBTB33	7168C_XX	FALSE	0.59	2	0.713624895	0.037115589
CXorf38	7168C_XX	FALSE	0.59	1	0.814814815	0.276410999
FAM120C	7168C_XX	FALSE	0.59	1	0.384615385	0
SLC9A7	7168C_XX	FALSE	0.59	6	0.839944817	0.348369546
BRCC3	7168C_XX	FALSE	0.59	1	0.6	0
F8	7168C_XX	FALSE	0.59	1	0.625	0
RBBP7	7168C_XX	FALSE	0.59	5	0.840200658	0.34913319
PHF6	7168C_XX	FALSE	0.59	3	0.847869674	0.372330855
PIGA	7168C_XX	FALSE	0.59	1	0.4	0
ACOT9	7168C_XX	FALSE	0.59	3	0.656349206	0
GNL3L	7168C_XX	FALSE	0.59	1	0.714285714	0.038461538
MID1IP1	7168C_XX	FALSE	0.59	1	0.75	0.115044248
ZNF81	7168C_XX	FALSE	0.59	1	0.428571429	0
RPGR	7168C_XX	FALSE	0.59	1	0.75	0.115044248
WASH6P	7168C_XX	FALSE	0.59	1	0.6	0
IDS	7168C_XX	FALSE	0.59	1	0.976190476	0.874529486
BCOR	7168C_XX	FALSE	0.59	1	0.933333333	0.678456592
GYG2	7168C_XX	FALSE	0.59	3	0.796296296	0.226985242
STK26	7168C_XX	FALSE	0.59	1	0.222222222	0
ARMCX4	7168C_XX	FALSE	0.59	1	0.75	0.115044248
OPHN1	7168C_XX	FALSE	0.59	4	0.754365079	0.124952289
XIAP	7168C_XX	FALSE	0.59	15	0.757639047	0.132466993
OCRL	7168C_XX	FALSE	0.59	1	0.726190476	0.063136456
TRAPPC2	7168C_XX	FALSE	0.59	1	0.725	0.060631939
MORF4L2	7168C_XX	FALSE	0.59	1	0.876080692	0.463104008
PJA1	7168C_XX	FALSE	0.59	1	0.939393939	0.704142012
MBTPS2	7168C_XX	FALSE	0.59	3	0.628822055	0
MPP1	7168C_XX	FALSE	0.59	1	0.904761905	0.565217391
G6PD	7168C_XX	FALSE	0.59	2	0.63338301	0
ATP6AP1	7168C_XX	FALSE	0.59	3	0.72476938	0.060147727
CETN2	7168C_XX	FALSE	0.59	1	0.5	0
MTMR1	7168C_XX	FALSE	0.59	1	0.852941176	0.388004896
LDOC1	7168C_XX	FALSE	0.59	2	0.629643963	0
FHL1	7168C_XX	FALSE	0.59	1	0.566360856	0
ZNF75D	7168C_XX	FALSE	0.59	4	0.813988095	0.274142036
MOSPD1	7168C_XX	FALSE	0.59	1	0.90625	0.570815451
ZNF280C	7168C_XX	FALSE	0.59	2	0.645833333	0
SMARCA1	7168C_XX	FALSE	0.59	1	0.791666667	0.215070644
IL13RA1	7168C_XX	FALSE	0.59	3	0.684515235	0
RBM41	7168C_XX	FALSE	0.59	4	0.632986111	0
SRPX2	7168C_XX	FALSE	0.59	1	0.4	0
APOOL	7168C_XX	FALSE	0.59	1	0.263157895	0
CHIC1	7168C_XX	FALSE	0.59	1	0.5625	0
HDAC8	7168C_XX	FALSE	0.59	1	0.333333333	0
AR	7168C_XX	FALSE	0.59	1	0.571428571	0
FGD1	7168C_XX	FALSE	0.59	1	0.728813559	0.068684517
IQSEC2	7168C_XX	FALSE	0.59	1	0.555555556	0
CCDC22	7168C_XX	FALSE	0.59	1	0.6	0
TBC1D25	7168C_XX	FALSE	0.59	1	0.694444444	0
ARAF	7168C_XX	FALSE	0.59	2	0.380769231	0
KDM6A	7168C_XX	FALSE	0.59	1	0.852941176	0.388004896
ATP6AP2	7168C_XX	FALSE	0.59	5	0.761300967	0.14095818
TAB3	7168C_XX	FALSE	0.59	2	0.619047619	0
SAT1	7168C_XX	FALSE	0.59	1	0.625	0
SYAP1	7168C_XX	FALSE	0.59	2	0.825892857	0.307405434
GRPR	7168C_XX	FALSE	0.59	3	0.521428571	0
PIR	7168C_XX	FALSE	0.59	1	0.111111111	0
TMSB4X	7168C_XX	FALSE	0.59	1	0.794871795	0.223300971
WWC3	7168C_XX	FALSE	0.59	1	0.741935484	0.097065463
TBL1X	7168C_XX	FALSE	0.59	2	0.585714286	0
PNPLA4	7168C_XX	FALSE	0.59	2	0.634615385	0
PUDP	7168C_XX	FALSE	0.59	7	0.774131622	0.171447625
XG	7168C_XX	FALSE	0.59	5	0.772273249	0.166958907
ZBED1	7168C_XX	FALSE	0.59	5	0.803082383	0.2447631
ASMTL	7168C_XX	FALSE	0.59	1	0.942857143	0.719101124
SLC25A6	7168C_XX	FALSE	0.59	1	0.903448276	0.560301508
UTP14A	7168C_XX	FALSE	0.59	1	0.537037037	0
DDX3X	7168C_XX	FALSE	0.59	1	0.959128065	0.792272538
GDI1	7168C_XX	FALSE	0.59	1	0.72	0.050203528
XIST	7168C_XX	FALSE	0.59	3	0.672873423	0
FTX	7168C_XX	FALSE	0.59	4	0.66025641	0
JPX	7168C_XX	FALSE	0.59	1	1	1
NHSL2	7168C_XX	FALSE	0.59	4	0.626984127	0
DNASE1L1	7194D_XXY	FALSE	0.68	3	0.517674818	0.062251863
EFNB1	7194D_XXY	FALSE	0.68	1	0.291666667	0
ARSD	7194D_XXY	FALSE	0.68	2	0.265217391	0
MXRA5	7194D_XXY	FALSE	0.68	12	0.622909894	0.215488754
STS	7194D_XXY	FALSE	0.68	3	0.88013468	0.699100683
NXT2	7194D_XXY	FALSE	0.68	2	0.39	0
WDR13	7194D_XXY	FALSE	0.68	1	0.619047619	0.209486166
ABCD1	7194D_XXY	FALSE	0.68	3	0.50915404	0.050717914
FMR1	7194D_XXY	FALSE	0.68	2	0.484848485	0.018475751
HUWE1	7194D_XXY	FALSE	0.68	1	0.379310345	0
HTATSF1	7194D_XXY	FALSE	0.68	1	0.540540541	0.093816631
THOC2	7194D_XXY	FALSE	0.68	1	0.625	0.21875
SLC35A2	7194D_XXY	FALSE	0.68	1	0.582089552	0.15356711
STARD8	7194D_XXY	FALSE	0.68	2	0.473214286	0.003378378
EDA2R	7194D_XXY	FALSE	0.68	1	0.6	0.180327869
WDR44	7194D_XXY	FALSE	0.68	4	0.570998446	0.137304688
MORC4	7194D_XXY	FALSE	0.68	1	0.43902439	0
PRKX	7194D_XXY	FALSE	0.68	1	0.714285714	0.367088608
RRAGB	7194D_XXY	FALSE	0.68	1	0.366666667	0
MAMLD1	7194D_XXY	FALSE	0.68	2	0.68460925	0.315743945
SNX12	7194D_XXY	FALSE	0.68	1	0.510204082	0.052132701
DOCK11	7194D_XXY	FALSE	0.68	2	0.759615385	0.449823944
FAM199X	7194D_XXY	FALSE	0.68	1	0.529411765	0.078341014
ZFX	7194D_XXY	FALSE	0.68	3	0.922077922	0.79757085
C1GALT1C1	7194D_XXY	FALSE	0.68	2	0.484722222	0.018310754
ZRSR2	7194D_XXY	FALSE	0.68	1	0.944444444	0.852941176
ELF4	7194D_XXY	FALSE	0.68	1	0.466666667	0
HCFC1	7194D_XXY	FALSE	0.68	4	0.569110114	0.134559003
MSL3	7194D_XXY	FALSE	0.68	1	0.571428571	0.137931034
ZNF41	7194D_XXY	FALSE	0.68	1	0.692307692	0.32885906
MAP7D3	7194D_XXY	FALSE	0.68	5	0.495180943	0.032064604
RPS4X	7194D_XXY	FALSE	0.68	1	0.827802691	0.585169821
ZNF185	7194D_XXY	FALSE	0.68	2	0.341346154	0
SMC1A	7194D_XXY	FALSE	0.68	1	0.846153846	0.62406015
USP9X	7194D_XXY	FALSE	0.68	1	0.625	0.21875
HMGB3	7194D_XXY	FALSE	0.68	1	0.4	0
ATP11C	7194D_XXY	FALSE	0.68	1	0.416666667	0
KLHL15	7194D_XXY	FALSE	0.68	1	0.571428571	0.137931034
SLC9A7	7194D_XXY	FALSE	0.68	6	0.36171045	0
VMA21	7194D_XXY	FALSE	0.68	1	0.565217391	0.128919861
RBBP7	7194D_XXY	FALSE	0.68	6	0.784974527	0.498550872
TREX2	7194D_XXY	FALSE	0.68	1	0.375	0
BGN	7194D_XXY	FALSE	0.68	1	0.488677536	0.023491558
MED12	7194D_XXY	FALSE	0.68	1	0.8	0.528301887
ERCC6L	7194D_XXY	FALSE	0.68	1	1	1
ACOT9	7194D_XXY	FALSE	0.68	4	0.621649184	0.21352602
GNL3L	7194D_XXY	FALSE	0.68	2	0.496527778	0.033848614
IDS	7194D_XXY	FALSE	0.68	5	0.414652923	0
MAGEH1	7194D_XXY	FALSE	0.68	1	0.533980583	0.084668192
RPL10	7194D_XXY	FALSE	0.68	3	0.498302469	0.036203871
CD99L2	7194D_XXY	FALSE	0.68	4	0.47810909	0.009704235
RBM3	7194D_XXY	FALSE	0.68	6	0.494758534	0.031505692
OPHN1	7194D_XXY	FALSE	0.68	1	1	1
XIAP	7194D_XXY	FALSE	0.68	14	0.449261031	0
ZDHHC9	7194D_XXY	FALSE	0.68	1	0.567567568	0.132321041
TRAPPC2	7194D_XXY	FALSE	0.68	3	0.722222222	0.381188119
FLNA	7194D_XXY	FALSE	0.68	4	0.524930999	0.07217087
MORF4L2	7194D_XXY	FALSE	0.68	1	0.434991974	0
ATP6AP1	7194D_XXY	FALSE	0.68	3	0.583020411	0.15494263
IRAK1	7194D_XXY	FALSE	0.68	1	0.469273743	0
TMEM187	7194D_XXY	FALSE	0.68	4	0.556051587	0.11575245
ZNF275	7194D_XXY	FALSE	0.68	5	0.375161252	0
GABRE	7194D_XXY	FALSE	0.68	1	0.357142857	0
LDOC1	7194D_XXY	FALSE	0.68	2	0.492572693	0.028618103
FHL1	7194D_XXY	FALSE	0.68	1	0.350515464	0
ZNF75D	7194D_XXY	FALSE	0.68	4	0.575892857	0.14445245
GPC4	7194D_XXY	FALSE	0.68	3	0.343152455	0
