Gene	Sample	gene_expression	pair	type_of_gene	direction	Skewed_XCI	Skewing_coeff	Num_snps	AR_raw	AR_adj	samplepair	expr_from_Xi	expr_from_Xa
DDX3X	7273C_XX	130.878609474493	DDX3X_DDX3Y	X_gene	plus	TRUE	0.83	1	0.539845758	0.376675837	7273C_XX DDX3X_DDX3Y	35.8100349001772	95.0685745743154
DDX3X	7275D_XX	135.38332025815	DDX3X_DDX3Y	X_gene	plus	TRUE	0.83	1	0.537525355	0.373867194	7275D_XX DDX3X_DDX3Y	36.8415391825113	98.5417810756386
DDX3X	7384C_XX	177.369262315862	DDX3X_DDX3Y	X_gene	plus	TRUE	1	1	0.514240506	0.514240506	7384C_XX DDX3X_DDX3Y	60.2351204057379	117.134141910124
EIF1AX	7196D_XXY	147.256137557457	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.85	1	0.218074656	0.043269231	7196D_XXY EIF1AX_EIF1AY	6.10739744143895	141.148740116018
EIF1AX	7273C_XX	132.834726201201	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.83	1	0.628571429	0.486369024	7273C_XX EIF1AX_EIF1AY	43.4661211937266	89.3686050074739
EIF1AX	7275D_XX	106.847459424519	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.83	3	0.414411745	0.229032648	7275D_XX EIF1AX_EIF1AY	19.911233931737	86.9362254927821
EIF1AX	7384C_XX	219.794998043524	EIF1AX_EIF1AY	X_gene	minus	TRUE	1	1	0.447592068	0.447592068	7384C_XX EIF1AX_EIF1AY	67.960097243609	151.834900799915
EIF1AX	7492C_XXY	178.74096503714	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.81	4	0.600783313	0.426290126	7492C_XXY EIF1AX_EIF1AY	53.4221664429052	125.318798594235
EIF1AX	7493C_XXY	192.516537077157	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.84	4	0.544603576	0.395114164	7493C_XXY EIF1AX_EIF1AY	54.523144102647	137.99339297451
EIF1AX	7509C_XX	215.471100371198	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.89	1	0.65625	0.579671379	7509C_XX EIF1AX_EIF1AY	79.0686161357741	136.402484235424
KDM5C	7509C_XX	29.9478480574368	KDM5C_KDM5D	X_gene	minus	TRUE	0.89	1	0.413533835	0.305555556	7509C_XX KDM5C_KDM5D	7.00907082976223	22.9387772276745
KDM6A	7275D_XX	8.96683705351172	KDM6A_UTY	X_gene	plus	TRUE	0.83	2	0.478978979	0.303981546	7275D_XX KDM6A_UTY	2.0903309549264	6.87650609858533
RPS4X	7196D_XXY	692.833699566918	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.85	2	0.566188059	0.432978779	7196D_XXY RPS4X_RPS4Y1	209.341752777301	483.491946789617
RPS4X	7273C_XX	736.66591777673	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.83	1	0.733122363	0.621648297	7273C_XX RPS4X_RPS4Y1	282.396074470053	454.269843306677
RPS4X	7275D_XX	789.063079934621	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.83	2	0.490029225	0.317029371	7275D_XX RPS4X_RPS4Y1	189.939706296038	599.123373638583
RPS4X	7351C_XXY	773.344726292128	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.8	1	0.726855209	0.582748689	7351C_XXY RPS4X_RPS4Y1	284.736059820424	488.608666471704
RPS4X	7493C_XXY	911.871786872725	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.84	1	0.628371869	0.497433425	7493C_XXY RPS4X_RPS4Y1	302.915307306547	608.956479566179
USP9X	7351C_XXY	57.9138044655578	USP9X_USP9Y	X_gene	plus	TRUE	0.8	1	0.291666667	0.04494382	7351C_XXY USP9X_USP9Y	2.49091630918036	55.4228881563775
USP9X	7384C_XX	44.324418530073	USP9X_USP9Y	X_gene	plus	TRUE	1	1	0.333333333	0.333333333	7384C_XX USP9X_USP9Y	11.0811046242074	33.2433139058656
USP9X	7492C_XXY	57.2423402559514	USP9X_USP9Y	X_gene	plus	TRUE	0.81	3	0.367038424	0.144950061	7492C_XXY USP9X_USP9Y	7.24684944305437	49.995490812897
USP9X	7493C_XXY	54.8374977745834	USP9X_USP9Y	X_gene	plus	TRUE	0.84	1	0.5	0.342105263	7493C_XXY USP9X_USP9Y	13.9781857024398	40.8593120721436
USP9X	7538C_XXY	60.0562241561887	USP9X_USP9Y	X_gene	plus	TRUE	0.83	1	0.5	0.32885906	7538C_XXY USP9X_USP9Y	14.8623988936445	45.1938252625442
ZFX	7196D_XXY	13.694711710265	ZFX_ZFY	X_gene	plus	TRUE	0.85	6	0.607554714	0.482853526	7196D_XXY ZFX_ZFY	4.45933446622491	9.23537724404006
ZFX	7273C_XX	14.5557539115657	ZFX_ZFY	X_gene	plus	TRUE	0.83	5	0.718156561	0.601867339	7273C_XX ZFX_ZFY	5.46901273320292	9.08674117836276
ZFX	7275D_XX	14.5724250043208	ZFX_ZFY	X_gene	plus	TRUE	0.83	6	0.465082293	0.287665393	7275D_XX ZFX_ZFY	3.25549043145789	11.3169345728629
ZFX	7351C_XXY	20.101563810313	ZFX_ZFY	X_gene	plus	TRUE	0.8	2	0.561951754	0.36294052	7351C_XXY ZFX_ZFY	5.35289098465441	14.7486728256586
ZFX	7434C_XXY	22.1114359325197	ZFX_ZFY	X_gene	plus	TRUE	0.86	2	0.657777778	0.554346568	7434C_XXY ZFX_ZFY	7.88588521703751	14.2255507154822
ZFX	7492C_XXY	24.6909858269009	ZFX_ZFY	X_gene	plus	TRUE	0.81	3	0.557245386	0.371197395	7492C_XXY ZFX_ZFY	6.6841066445634	18.0068791823375
ZFX	7493C_XXY	25.2944403181207	ZFX_ZFY	X_gene	plus	TRUE	0.84	5	0.58626738	0.445545213	7493C_XXY ZFX_ZFY	7.79623957652918	17.4982007415916
ZFX	7509C_XX	27.3704559316775	ZFX_ZFY	X_gene	plus	TRUE	0.89	5	0.88119288	0.85019317	7509C_XX ZFX_ZFY	12.5771595475613	14.7932963841162
ZFX	7538C_XXY	20.7256072176765	ZFX_ZFY	X_gene	plus	TRUE	0.83	1	0.507936508	0.338313767	7538C_XXY ZFX_ZFY	5.23924839157284	15.4863588261037
