pair	type_of_gene	name	gene_expression
DDX3X_DDX3Y	X_gene	expr_from_Xi	35.8100349001772
DDX3X_DDX3Y	X_gene	expr_from_Xa	95.0685745743154
DDX3X_DDX3Y	X_gene	expr_from_Xi	36.8415391825113
DDX3X_DDX3Y	X_gene	expr_from_Xa	98.5417810756386
DDX3X_DDX3Y	X_gene	expr_from_Xi	60.2351204057379
DDX3X_DDX3Y	X_gene	expr_from_Xa	117.134141910124
EIF1AX_EIF1AY	X_gene	expr_from_Xi	6.10739744143895
EIF1AX_EIF1AY	X_gene	expr_from_Xa	141.148740116018
EIF1AX_EIF1AY	X_gene	expr_from_Xi	43.4661211937266
EIF1AX_EIF1AY	X_gene	expr_from_Xa	89.3686050074739
EIF1AX_EIF1AY	X_gene	expr_from_Xi	19.911233931737
EIF1AX_EIF1AY	X_gene	expr_from_Xa	86.9362254927821
EIF1AX_EIF1AY	X_gene	expr_from_Xi	67.960097243609
EIF1AX_EIF1AY	X_gene	expr_from_Xa	151.834900799915
EIF1AX_EIF1AY	X_gene	expr_from_Xi	53.4221664429052
EIF1AX_EIF1AY	X_gene	expr_from_Xa	125.318798594235
EIF1AX_EIF1AY	X_gene	expr_from_Xi	54.523144102647
EIF1AX_EIF1AY	X_gene	expr_from_Xa	137.99339297451
EIF1AX_EIF1AY	X_gene	expr_from_Xi	79.0686161357741
EIF1AX_EIF1AY	X_gene	expr_from_Xa	136.402484235424
KDM5C_KDM5D	X_gene	expr_from_Xi	7.00907082976223
KDM5C_KDM5D	X_gene	expr_from_Xa	22.9387772276745
KDM6A_UTY	X_gene	expr_from_Xi	2.0903309549264
KDM6A_UTY	X_gene	expr_from_Xa	6.87650609858533
RPS4X_RPS4Y1	X_gene	expr_from_Xi	209.341752777301
RPS4X_RPS4Y1	X_gene	expr_from_Xa	483.491946789617
RPS4X_RPS4Y1	X_gene	expr_from_Xi	282.396074470053
RPS4X_RPS4Y1	X_gene	expr_from_Xa	454.269843306677
RPS4X_RPS4Y1	X_gene	expr_from_Xi	189.939706296038
RPS4X_RPS4Y1	X_gene	expr_from_Xa	599.123373638583
RPS4X_RPS4Y1	X_gene	expr_from_Xi	284.736059820424
RPS4X_RPS4Y1	X_gene	expr_from_Xa	488.608666471704
RPS4X_RPS4Y1	X_gene	expr_from_Xi	302.915307306547
RPS4X_RPS4Y1	X_gene	expr_from_Xa	608.956479566179
USP9X_USP9Y	X_gene	expr_from_Xi	2.49091630918036
USP9X_USP9Y	X_gene	expr_from_Xa	55.4228881563775
USP9X_USP9Y	X_gene	expr_from_Xi	11.0811046242074
USP9X_USP9Y	X_gene	expr_from_Xa	33.2433139058656
USP9X_USP9Y	X_gene	expr_from_Xi	7.24684944305437
USP9X_USP9Y	X_gene	expr_from_Xa	49.995490812897
USP9X_USP9Y	X_gene	expr_from_Xi	13.9781857024398
USP9X_USP9Y	X_gene	expr_from_Xa	40.8593120721436
USP9X_USP9Y	X_gene	expr_from_Xi	14.8623988936445
USP9X_USP9Y	X_gene	expr_from_Xa	45.1938252625442
ZFX_ZFY	X_gene	expr_from_Xi	4.45933446622491
ZFX_ZFY	X_gene	expr_from_Xa	9.23537724404006
ZFX_ZFY	X_gene	expr_from_Xi	5.46901273320292
ZFX_ZFY	X_gene	expr_from_Xa	9.08674117836276
ZFX_ZFY	X_gene	expr_from_Xi	3.25549043145789
ZFX_ZFY	X_gene	expr_from_Xa	11.3169345728629
ZFX_ZFY	X_gene	expr_from_Xi	5.35289098465441
ZFX_ZFY	X_gene	expr_from_Xa	14.7486728256586
ZFX_ZFY	X_gene	expr_from_Xi	7.88588521703751
ZFX_ZFY	X_gene	expr_from_Xa	14.2255507154822
ZFX_ZFY	X_gene	expr_from_Xi	6.6841066445634
ZFX_ZFY	X_gene	expr_from_Xa	18.0068791823375
ZFX_ZFY	X_gene	expr_from_Xi	7.79623957652918
ZFX_ZFY	X_gene	expr_from_Xa	17.4982007415916
ZFX_ZFY	X_gene	expr_from_Xi	12.5771595475613
ZFX_ZFY	X_gene	expr_from_Xa	14.7932963841162
ZFX_ZFY	X_gene	expr_from_Xi	5.23924839157284
ZFX_ZFY	X_gene	expr_from_Xa	15.4863588261037
DDX3X_DDX3Y	X_gene	Xgene	109.843251633454
DDX3X_DDX3Y	X_gene	Xgene	122.076200207377
DDX3X_DDX3Y	X_gene	Xgene	115.363824211104
DDX3X_DDX3Y	X_gene	Xgene	121.99830392396
DDX3X_DDX3Y	X_gene	Xgene	131.432722853667
DDX3X_DDX3Y	X_gene	Xgene	81.1072663605569
DDX3X_DDX3Y	X_gene	Xgene	121.271357777148
DDX3X_DDX3Y	X_gene	Xgene	97.586432216911
DDX3X_DDX3Y	X_gene	Xgene	146.067740152477
DDX3X_DDX3Y	X_gene	Xgene	141.878999288659
DDX3X_DDX3Y	X_gene	Xgene	102.855587577031
DDX3X_DDX3Y	X_gene	Xgene	103.088419672503
DDX3X_DDX3Y	X_gene	Xgene	135.735528688752
DDX3X_DDX3Y	X_gene	Xgene	118.732467096262
DDX3X_DDX3Y	Y_gene	Ygene	34.1387299632526
DDX3X_DDX3Y	Y_gene	Ygene	23.9467246285115
DDX3X_DDX3Y	Y_gene	Ygene	33.5673291160313
DDX3X_DDX3Y	Y_gene	Ygene	44.5311660731105
DDX3X_DDX3Y	Y_gene	Ygene	46.5223324318161
DDX3X_DDX3Y	Y_gene	Ygene	32.0630034037793
DDX3X_DDX3Y	Y_gene	Ygene	35.8802149592096
DDX3X_DDX3Y	Y_gene	Ygene	40.7396319604172
