Gene	Sample	Skewed_XCI	Skewing_coeff	Num_snps	AR_raw	AR_adj
FTSJ1	2690_XX	FALSE	0.55	1	1	1
OTUD5	2690_XX	FALSE	0.55	1	0.131578947	0
SLC25A43	2690_XX	FALSE	0.55	1	0.653846154	0
WDR13	2690_XX	FALSE	0.55	1	0.785714286	0
ABCD1	2690_XX	FALSE	0.55	2	0.833333333	0.047619048
FMR1	2690_XX	FALSE	0.55	2	0.773809524	0
RAB9A	2690_XX	FALSE	0.55	1	0.894557823	0.284890427
SLC35A2	2690_XX	FALSE	0.55	1	0.509090909	0
CFP	2690_XX	FALSE	0.55	1	0.918918919	0.405940594
EIF2S3	2690_XX	FALSE	0.55	2	0.964404078	0.693186646
VAMP7	2690_XX	FALSE	0.55	2	0.831111111	0.04040404
PRKX	2690_XX	FALSE	0.55	4	0.876249082	0.205134713
SLC10A3	2690_XX	FALSE	0.55	1	0.75	0
TAF1	2690_XX	FALSE	0.55	1	0.891891892	0.272727273
NONO	2690_XX	FALSE	0.55	1	0.826086957	0.024390244
DOCK11	2690_XX	FALSE	0.55	4	0.82828869	0.031357686
AIFM1	2690_XX	FALSE	0.55	1	0.813953488	0
TAB3	2690_XX	FALSE	0.55	2	0.925	0.439252336
MECP2	2690_XX	FALSE	0.55	1	0.888888889	0.259259259
ZFX	2690_XX	FALSE	0.55	5	0.695161783	0
ZRSR2	2690_XX	FALSE	0.55	1	0.754385965	0
BTK	2690_XX	FALSE	0.55	1	0.805785124	0
ZNF41	2690_XX	FALSE	0.55	1	0.923076923	0.428571429
AKAP17A	2690_XX	FALSE	0.55	5	0.80370804	0
TFE3	2690_XX	FALSE	0.55	1	0.930555556	0.470899471
MAP7D3	2690_XX	FALSE	0.55	4	0.928422619	0.458607688
CA5B	2690_XX	FALSE	0.55	1	0.5	0
SSR4	2690_XX	FALSE	0.55	2	0.65625	0
HCCS	2690_XX	FALSE	0.55	1	1	1
FAM3A	2690_XX	FALSE	0.55	2	0.964452214	0.693544336
MED14	2690_XX	FALSE	0.55	1	0.824324324	0.018867925
GTPBP6	2690_XX	FALSE	0.55	1	0.901098901	0.315589354
MAGED1	2690_XX	FALSE	0.55	1	1	1
ARMCX2	2690_XX	FALSE	0.55	1	0.375	0
RBBP7	2690_XX	FALSE	0.55	7	0.800987724	0
IL3RA	2690_XX	FALSE	0.55	4	0.646480278	0
DHRSX	2690_XX	FALSE	0.55	1	0.953125	0.612903226
MID1IP1	2690_XX	FALSE	0.55	1	0.727272727	0
ZNF449	2690_XX	FALSE	0.55	1	0.571428571	0
RPGR	2690_XX	FALSE	0.55	1	0.909090909	0.35483871
WASH6P	2690_XX	FALSE	0.55	2	0.56517094	0
GSPT2	2690_XX	FALSE	0.55	1	0.625	0
IDS	2690_XX	FALSE	0.55	5	0.770519879	0
BCOR	2690_XX	FALSE	0.55	1	0.576923077	0
SOWAHD	2690_XX	FALSE	0.55	3	0.62962963	0
ARHGAP4	2690_XX	FALSE	0.55	1	0.864864865	0.159663866
RBM3	2690_XX	FALSE	0.55	4	0.738839222	0
STK26	2690_XX	FALSE	0.55	1	0.304347826	0
XIAP	2690_XX	FALSE	0.55	13	0.762462964	0
PDHA1	2690_XX	FALSE	0.55	2	0.904761905	0.333333333
SASH3	2690_XX	FALSE	0.55	1	0.833688699	0.048780488
OCRL	2690_XX	FALSE	0.55	1	0.583333333	0
LAGE3	2690_XX	FALSE	0.55	2	0.75212766	0
CTPS2	2690_XX	FALSE	0.55	2	0.8125	0
TRAPPC2	2690_XX	FALSE	0.55	3	0.743589744	0
MBTPS2	2690_XX	FALSE	0.55	2	0.809597523	0
UBL4A	2690_XX	FALSE	0.55	3	0.893192918	0.278638505
ZNF275	2690_XX	FALSE	0.55	5	0.826730994	0.02642029
NSDHL	2690_XX	FALSE	0.55	1	0.8	0
SLC9A6	2690_XX	FALSE	0.55	1	0.789473684	0
ZNF280C	2690_XX	FALSE	0.55	1	0.5	0
LAMP2	2690_XX	FALSE	0.55	1	0.787878788	0
IL13RA1	2690_XX	FALSE	0.55	1	0.454545455	0
RBM41	2690_XX	FALSE	0.55	4	0.883279915	0.234743017
BEX2	2690_XX	FALSE	0.55	1	0.571428571	0
BEX4	2690_XX	FALSE	0.55	1	0.73015873	0
TRMT2B	2690_XX	FALSE	0.55	1	0.789473684	0
APOOL	2690_XX	FALSE	0.55	3	0.558333333	0
SH3BGRL	2690_XX	FALSE	0.55	1	0.796747967	0
ITM2A	2690_XX	FALSE	0.55	1	0.5625	0
CHIC1	2690_XX	FALSE	0.55	1	1	1
KIF4A	2690_XX	FALSE	0.55	1	0.666666667	0
ZXDB	2690_XX	FALSE	0.55	1	0.842105263	0.076923077
FAAH2	2690_XX	FALSE	0.55	2	0.708333333	0
SPIN3	2690_XX	FALSE	0.55	1	1	1
PLP2	2690_XX	FALSE	0.55	2	0.694044665	0
GRIPAP1	2690_XX	FALSE	0.55	1	0.934210526	0.492385787
TIMM17B	2690_XX	FALSE	0.55	1	0.765363128	0
TBC1D25	2690_XX	FALSE	0.55	2	0.941675504	0.53800924
KDM6A	2690_XX	FALSE	0.55	1	0.742424242	0
POLA1	2690_XX	FALSE	0.55	1	0.769230769	0
PDK3	2690_XX	FALSE	0.55	1	0.928571429	0.459459459
EIF1AX	2690_XX	FALSE	0.55	4	0.568243131	0
AP1S2	2690_XX	FALSE	0.55	1	0.833333333	0.047619048
TMSB4X	2690_XX	FALSE	0.55	1	0.782608696	0
WWC3	2690_XX	FALSE	0.55	1	0.8	0
TBL1X	2690_XX	FALSE	0.55	1	0.692307692	0
PNPLA4	2690_XX	FALSE	0.55	1	0.666666667	0
PUDP	2690_XX	FALSE	0.55	6	0.825705279	0.023190286
CD99	2690_XX	FALSE	0.55	2	0.888185823	0.256141099
ZBED1	2690_XX	FALSE	0.55	5	0.923536979	0.431114099
P2RY8	2690_XX	FALSE	0.55	1	0.933333333	0.487179487
ASMTL	2690_XX	FALSE	0.55	8	0.783074001	0
SLC25A6	2690_XX	FALSE	0.55	2	0.838847129	0.065882218
PLCXD1	2690_XX	FALSE	0.55	4	0.561247947	0
UTP14A	2690_XX	FALSE	0.55	1	0.75	0
FANCB	2690_XX	FALSE	0.55	1	1	1
GDI1	2690_XX	FALSE	0.55	1	0.705882353	0
XIST	2690_XX	FALSE	0.55	1	0.210526316	0
SLC38A5	2690_XX	FALSE	0.55	1	0.806451613	0
P2RY10	2703_XX	TRUE	1	1	0.120401338	0.120401338
SLC25A43	2703_XX	TRUE	1	2	0.133298319	0.133298319
TIMP1	2703_XX	TRUE	1	2	0.123182527	0.123182527
CFP	2703_XX	TRUE	1	1	0.193548387	0.193548387
PRKX	2703_XX	TRUE	1	3	0.737470334	0.737470334
CHST7	2703_XX	TRUE	1	1	0.166666667	0.166666667
SNX12	2703_XX	TRUE	1	1	0.101503759	0.101503759
AKAP17A	2703_XX	TRUE	1	5	0.804247872	0.804247872
RPS4X	2703_XX	TRUE	1	1	0.767242534	0.767242534
CA5B	2703_XX	TRUE	1	1	0.428571429	0.428571429
SLC9A7	2703_XX	TRUE	1	1	0.095744681	0.095744681
BRCC3	2703_XX	TRUE	1	1	0.103448276	0.103448276
RBBP7	2703_XX	TRUE	1	6	0.371648163	0.371648163
IL3RA	2703_XX	TRUE	1	1	0.653543307	0.653543307
WASH6P	2703_XX	TRUE	1	1	0.326530612	0.326530612
SOWAHD	2703_XX	TRUE	1	1	0.19047619	0.19047619
CD99L2	2703_XX	TRUE	1	1	0.112676056	0.112676056
ARHGAP4	2703_XX	TRUE	1	1	0.1015625	0.1015625
XIAP	2703_XX	TRUE	1	2	0.137566138	0.137566138
ZDHHC9	2703_XX	TRUE	1	1	0.102040816	0.102040816
CHM	2703_XX	TRUE	1	1	0.233333333	0.233333333
ARMCX6	2703_XX	TRUE	1	1	0.085106383	0.085106383
PLXNA3	2703_XX	TRUE	1	1	0.148148148	0.148148148
