Gene	Sample	gene_expression	pair	type_of_gene	direction	Skewed_XCI	Skewing_coeff	Num_snps	AR_raw	AR_adj	samplepair	expr_from_Xi	expr_from_Xa
DDX3X	2703_XX	95.6153441227826	DDX3X_DDX3Y	X_gene	plus	TRUE	1	2	0.375	0.375	2703_XX DDX3X_DDX3Y	26.0769120334862	69.5384320892964
DDX3X	6029_XX	94.7926279103713	DDX3X_DDX3Y	X_gene	plus	TRUE	0.85	1	0.733840304	0.64028777	6029_XX DDX3X_DDX3Y	37.0023854638454	57.7902424465259
DDX3X	7205B_XX	127.554326229896	DDX3X_DDX3Y	X_gene	plus	TRUE	0.81	2	0.727272727	0.594046008	7205B_XX DDX3X_DDX3Y	47.5351011951466	80.0192250347496
DDX3X	7246B_XX	100.785853625237	DDX3X_DDX3Y	X_gene	plus	TRUE	0.93	4	0.576813301	0.524307863	7246B_XX DDX3X_DDX3Y	34.6667604475113	66.1190931777257
DDX3X	7249B_XX	97.9279789446684	DDX3X_DDX3Y	X_gene	plus	TRUE	0.83	2	0.544642857	0.382491827	7249B_XX DDX3X_DDX3Y	27.0935790356493	70.8343999090191
DDX3X	7271A_XX	110.428377815131	DDX3X_DDX3Y	X_gene	plus	TRUE	0.87	1	0.857142857	0.811676083	7271A_XX DDX3X_DDX3Y	49.4746682357286	60.9537095794021
DDX3X	7273A_XX	78.336061288048	DDX3X_DDX3Y	X_gene	plus	TRUE	0.89	1	0.711316397	0.644371106	7273A_XX DDX3X_DDX3Y	30.6971426752029	47.638918612845
DDX3X	7275A_XX	98.8491448678138	DDX3X_DDX3Y	X_gene	plus	TRUE	1	3	0.812709591	0.812709591	7275A_XX DDX3X_DDX3Y	44.3179914174243	54.5311534503895
DDX3X	7368A_XX	110.481941485855	DDX3X_DDX3Y	X_gene	plus	TRUE	1	1	0.555555556	0.555555556	7368A_XX DDX3X_DDX3Y	39.4578362652409	71.0241052206143
DDX3X	7389A_XX	108.708083494025	DDX3X_DDX3Y	X_gene	plus	TRUE	0.83	1	0.634989201	0.49448117	7389A_XX DDX3X_DDX3Y	35.9684025423909	72.7396809516343
EIF1AX	2703_XX	103.413487526245	EIF1AX_EIF1AY	X_gene	minus	TRUE	1	2	0.620409982	0.620409982	2703_XX EIF1AX_EIF1AY	39.5941524968433	63.8193350294021
EIF1AX	6029_XX	96.5370151564456	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.85	4	0.423872054	0.267403501	6029_XX EIF1AX_EIF1AY	20.367890579879	76.1691245765666
EIF1AX	7205B_XX	85.7262412310186	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.81	2	0.6625	0.506669103	7205B_XX EIF1AX_EIF1AY	28.8283855171628	56.8978557138558
EIF1AX	7246B_XX	95.4059088296495	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.93	4	0.602703985	0.552499192	7246B_XX EIF1AX_EIF1AY	33.9527954745673	61.4531133550822
EIF1AX	7249B_XX	111.6326133928	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.83	3	0.399782774	0.212351523	7249B_XX EIF1AX_EIF1AY	19.5532030279235	92.0794103648763
EIF1AX	7273A_XX	86.1035360433697	EIF1AX_EIF1AY	X_gene	minus	TRUE	0.89	1	0.302857143	0.186232657	7273A_XX EIF1AX_EIF1AY	13.5178290698938	72.5857069734759
EIF1AX	7275A_XX	80.311070447797	EIF1AX_EIF1AY	X_gene	minus	TRUE	1	3	0.396107071	0.396107071	7275A_XX EIF1AX_EIF1AY	22.7860624337111	57.5250080140859
KDM5C	7389A_XX	26.9314703093822	KDM5C_KDM5D	X_gene	minus	TRUE	0.83	1	0.778688525	0.682763483	7389A_XX KDM5C_KDM5D	10.927159197657	16.0043111117251
KDM6A	6029_XX	11.3237903870016	KDM6A_UTY	X_gene	plus	TRUE	0.85	1	0.96969697	0.956989247	6029_XX KDM6A_UTY	5.53745793557878	5.78633245142281
KDM6A	7249B_XX	10.8066807014455	KDM6A_UTY	X_gene	plus	TRUE	0.83	1	0.862745098	0.799139168	7249B_XX KDM6A_UTY	4.80009661186743	6.00658408957803
KDM6A	7271A_XX	10.9307534626077	KDM6A_UTY	X_gene	plus	TRUE	0.87	1	0.642857143	0.545867393	7271A_XX KDM6A_UTY	3.85980189709546	7.07095156551228
KDM6A	7275A_XX	12.1443877836218	KDM6A_UTY	X_gene	plus	TRUE	1	2	0.735446793	0.735446793	7275A_XX KDM6A_UTY	5.14654271420985	6.99784506941191
KDM6A	7368A_XX	11.8919632425523	KDM6A_UTY	X_gene	plus	TRUE	1	1	0.757575758	0.757575758	7368A_XX KDM6A_UTY	5.12584622687127	6.76611701568106
RPS4X	2703_XX	1637.733894846	RPS4X_RPS4Y1	X_gene	minus	TRUE	1	1	0.767242534	0.767242534	2703_XX RPS4X_RPS4Y1	711.01678424142	926.717110604585
RPS4X	6029_XX	1424.31556765775	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.85	1	0.747133374	0.657329789	6029_XX RPS4X_RPS4Y1	564.911738008881	859.403829648866
RPS4X	7205B_XX	1339.4681642749	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.81	1	0.798140044	0.693386624	7205B_XX RPS4X_RPS4Y1	548.468551256286	790.999613018618
RPS4X	7249B_XX	1229.21079218645	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.83	2	0.637465878	0.497618281	7249B_XX RPS4X_RPS4Y1	408.433690450171	820.777101736282
RPS4X	7273A_XX	1978.69483656699	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.89	1	0.820419547	0.775455344	7273A_XX RPS4X_RPS4Y1	864.223079643438	1114.47175692355
RPS4X	7275A_XX	1507.53301404047	RPS4X_RPS4Y1	X_gene	minus	TRUE	1	3	0.684771466	0.684771466	7275A_XX RPS4X_RPS4Y1	612.73330709881	894.799706941658
RPS4X	7368A_XX	1166.87950955886	RPS4X_RPS4Y1	X_gene	minus	TRUE	1	1	0.680851064	0.680851064	7368A_XX RPS4X_RPS4Y1	472.660054575156	694.219454983705
RPS4X	7389A_XX	1406.7649750727	RPS4X_RPS4Y1	X_gene	minus	TRUE	0.83	1	0.513513514	0.344978166	7389A_XX RPS4X_RPS4Y1	360.826081316189	1045.93889375651
USP9X	6029_XX	22.6892675040362	USP9X_USP9Y	X_gene	plus	TRUE	0.85	1	0.180851064	0.004524887	6029_XX USP9X_USP9Y	0.102203910422914	22.5870635936133
USP9X	7205B_XX	33.8541416710113	USP9X_USP9Y	X_gene	plus	TRUE	0.81	2	0.213642214	0	7205B_XX USP9X_USP9Y	0	33.8541416710113
USP9X	7246B_XX	23.536413821032	USP9X_USP9Y	X_gene	plus	TRUE	0.93	1	0.194444444	0.120945741	7246B_XX USP9X_USP9Y	2.539488670993	20.996925150039
USP9X	7272A_XX	28.2929171602154	USP9X_USP9Y	X_gene	plus	TRUE	0.96	1	0.094444444	0.052986289	7272A_XX USP9X_USP9Y	1.42370010033837	26.869217059877
ZFX	6029_XX	7.95470508432924	ZFX_ZFY	X_gene	plus	TRUE	0.85	4	0.63248557	0.513307894	6029_XX ZFX_ZFY	2.6982036705269	5.25650141380234
ZFX	7205B_XX	12.3939469461086	ZFX_ZFY	X_gene	plus	TRUE	0.81	6	0.649333053	0.489290269	7205B_XX ZFX_ZFY	4.07189770957483	8.32204923653372
ZFX	7249B_XX	8.02407752435544	ZFX_ZFY	X_gene	plus	TRUE	0.83	6	0.670833997	0.540244118	7249B_XX ZFX_ZFY	2.81446339203551	5.20961413231992
ZFX	7271A_XX	11.5561519482269	ZFX_ZFY	X_gene	plus	TRUE	0.87	6	0.492045455	0.369810097	7271A_XX ZFX_ZFY	3.11983513793631	8.43631681029064
ZFX	7272A_XX	10.8828684028115	ZFX_ZFY	X_gene	plus	TRUE	0.96	1	0.55	0.520255864	7272A_XX ZFX_ZFY	3.72429157339728	7.15857682941424
ZFX	7273A_XX	6.75089783550022	ZFX_ZFY	X_gene	plus	TRUE	0.89	5	0.745170481	0.684629128	7273A_XX ZFX_ZFY	2.74354825137251	4.0073495841277
ZFX	7275A_XX	12.2524161055701	ZFX_ZFY	X_gene	plus	TRUE	1	6	0.628021579	0.628021579	7275A_XX ZFX_ZFY	4.72646174254742	7.52595436302264
ZFX	7389A_XX	10.9582813308591	ZFX_ZFY	X_gene	plus	TRUE	0.83	6	0.664825621	0.532518975	7389A_XX ZFX_ZFY	3.8077784596897	7.15050287116943
