gene.x	sample	gene_expression	pair	type_of_gene	direction
DDX3X	5297_XY	20.2157035	DDX3X_DDX3Y	X_gene	plus
DDX3X	5566_XY	52.82081	DDX3X_DDX3Y	X_gene	plus
DDX3X	7229B_XY	128.3640677	DDX3X_DDX3Y	X_gene	plus
DDX3X	7241A_XY	84.042266	DDX3X_DDX3Y	X_gene	plus
DDX3X	7276B_XY	156.6001649	DDX3X_DDX3Y	X_gene	plus
DDX3X	7295A_XY	117.3962295	DDX3X_DDX3Y	X_gene	plus
DDX3X	7357A_XY	85.9361877	DDX3X_DDX3Y	X_gene	plus
DDX3X	7359A_XY	90.9546455	DDX3X_DDX3Y	X_gene	plus
DDX3X	7366A_XY	48.571622	DDX3X_DDX3Y	X_gene	plus
DDX3X	7371A_XY	49.9350216	DDX3X_DDX3Y	X_gene	plus
DDX3X	7375A_XY	89.7730551043215	DDX3X_DDX3Y	X_gene	plus
DDX3X	7388A_XY	99.9664436	DDX3X_DDX3Y	X_gene	plus
DDX3X	7245B_XY	71.441617	DDX3X_DDX3Y	X_gene	plus
DDX3X	5755_XY	38.6223820152589	DDX3X_DDX3Y	X_gene	plus
DDX3X	7365A_XY	80.9549876	DDX3X_DDX3Y	X_gene	plus
DDX3X	7356A_XY	119.796032	DDX3X_DDX3Y	X_gene	plus
DDX3X	7374A_XY	78.149340699238	DDX3X_DDX3Y	X_gene	plus
DDX3Y	7388A_XY	74.0743	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	5297_XY	16.03362	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7229B_XY	80.7057	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7276B_XY	51.6014	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7357A_XY	47.2012	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	5755_XY	56.2851	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7366A_XY	38.3024416	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7375A_XY	69.21233	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7356A_XY	48.27358	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7241A_XY	74.3307	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7245B_XY	52.7097	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	5566_XY	41.1943	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7374A_XY	64.7718	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7359A_XY	79.3234	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7365A_XY	68.2581	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7295A_XY	57.4083	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7371A_XY	59.2289	DDX3X_DDX3Y	Y_gene	plus
EIF1AX	7388A_XY	82.4885	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7374A_XY	63.0731	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	5566_XY	62.4555	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7375A_XY	85.5121	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	5297_XY	23.7063	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7295A_XY	83.17971	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7229B_XY	75.0631	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7241A_XY	74.2543	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7276B_XY	134.4401	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7371A_XY	60.1943	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7357A_XY	95.9153	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7359A_XY	81.6336	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7366A_XY	57.412	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7245B_XY	62.4394	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	5755_XY	43.0751	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7365A_XY	88.6446	EIF1AX_EIF1AY	X_gene	minus
EIF1AX	7356A_XY	113.7713	EIF1AX_EIF1AY	X_gene	minus
EIF1AY	7371A_XY	89.4279	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7375A_XY	93.5786	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	5297_XY	40.2601	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7229B_XY	122.883	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7388A_XY	104.2938	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7276B_XY	173.3208	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7245B_XY	93.9266	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7357A_XY	88.2856	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7374A_XY	98.1501	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7366A_XY	66.7162	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7365A_XY	91.6966	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	5566_XY	90.1215	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	5755_XY	44.7544	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7241A_XY	105.0068	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7295A_XY	162.3479	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7356A_XY	135.2095	EIF1AX_EIF1AY	Y_gene	plus
EIF1AY	7359A_XY	91.2325	EIF1AX_EIF1AY	Y_gene	plus
KDM5C	7375A_XY	17.7900278	KDM5C_KDM5D	X_gene	minus
KDM5C	7371A_XY	19.1049196	KDM5C_KDM5D	X_gene	minus
KDM5C	7365A_XY	17.2908732	KDM5C_KDM5D	X_gene	minus
KDM5C	7388A_XY	18.807199	KDM5C_KDM5D	X_gene	minus
KDM5C	7374A_XY	15.76216	KDM5C_KDM5D	X_gene	minus
KDM5C	7366A_XY	12.205312	KDM5C_KDM5D	X_gene	minus
KDM5C	7229B_XY	18.509746	KDM5C_KDM5D	X_gene	minus
KDM5C	7241A_XY	18.2354675	KDM5C_KDM5D	X_gene	minus
KDM5C	5297_XY	6.3858625	KDM5C_KDM5D	X_gene	minus
KDM5C	5566_XY	14.194785	KDM5C_KDM5D	X_gene	minus
KDM5C	7357A_XY	15.922512	KDM5C_KDM5D	X_gene	minus
KDM5C	7359A_XY	17.890691	KDM5C_KDM5D	X_gene	minus
KDM5C	7276B_XY	17.611821	KDM5C_KDM5D	X_gene	minus
KDM5C	7295A_XY	15.1190093	KDM5C_KDM5D	X_gene	minus
KDM5C	5755_XY	12.2592148	KDM5C_KDM5D	X_gene	minus
KDM5C	7245B_XY	17.917935	KDM5C_KDM5D	X_gene	minus
KDM5C	7356A_XY	15.8168942	KDM5C_KDM5D	X_gene	minus
KDM5D	7374A_XY	2.9036257	KDM5C_KDM5D	Y_gene	minus
KDM5D	7375A_XY	4.221942	KDM5C_KDM5D	Y_gene	minus
KDM5D	7366A_XY	4.023392	KDM5C_KDM5D	Y_gene	minus
KDM5D	7359A_XY	5.2161560000722	KDM5C_KDM5D	Y_gene	minus
KDM5D	7388A_XY	4.5623245	KDM5C_KDM5D	Y_gene	minus
KDM5D	5297_XY	2.5681856	KDM5C_KDM5D	Y_gene	minus
KDM5D	7371A_XY	3.1264051	KDM5C_KDM5D	Y_gene	minus
KDM5D	7229B_XY	6.441816	KDM5C_KDM5D	Y_gene	minus
KDM5D	5755_XY	3.346834	KDM5C_KDM5D	Y_gene	minus
KDM5D	7276B_XY	6.376584	KDM5C_KDM5D	Y_gene	minus
KDM5D	7365A_XY	2.999153	KDM5C_KDM5D	Y_gene	minus
KDM5D	7357A_XY	3.560817	KDM5C_KDM5D	Y_gene	minus
KDM5D	7356A_XY	4.33859	KDM5C_KDM5D	Y_gene	minus
KDM5D	7241A_XY	8.630961	KDM5C_KDM5D	Y_gene	minus
KDM5D	7245B_XY	6.706796	KDM5C_KDM5D	Y_gene	minus
KDM5D	5566_XY	4.67725	KDM5C_KDM5D	Y_gene	minus
KDM5D	7295A_XY	7.73958	KDM5C_KDM5D	Y_gene	minus
KDM6A	7366A_XY	4.524218	KDM6A_UTY	X_gene	plus
KDM6A	7374A_XY	5.50706	KDM6A_UTY	X_gene	plus
KDM6A	7375A_XY	7.025545	KDM6A_UTY	X_gene	plus
KDM6A	7359A_XY	7.8286523	KDM6A_UTY	X_gene	plus
KDM6A	7356A_XY	7.0506051	KDM6A_UTY	X_gene	plus
KDM6A	7371A_XY	5.183386	KDM6A_UTY	X_gene	plus
KDM6A	7365A_XY	6.7075957	KDM6A_UTY	X_gene	plus
KDM6A	7388A_XY	6.1805471	KDM6A_UTY	X_gene	plus
KDM6A	5297_XY	2.4702632	KDM6A_UTY	X_gene	plus
KDM6A	5566_XY	5.750172	KDM6A_UTY	X_gene	plus
KDM6A	7229B_XY	8.154068	KDM6A_UTY	X_gene	plus
KDM6A	7357A_XY	7.6205681	KDM6A_UTY	X_gene	plus
KDM6A	7276B_XY	8.6610082	KDM6A_UTY	X_gene	plus
