gene.x	sample	gene_expression	pair	type_of_gene	direction
DDX3X	7165G_XY	133.1748957	DDX3X_DDX3Y	X_gene	plus
DDX3X	7169C_XY	130.2267379	DDX3X_DDX3Y	X_gene	plus
DDX3X	7276D_XY	119.957326	DDX3X_DDX3Y	X_gene	plus
DDX3X	7378C_XY	115.3482067	DDX3X_DDX3Y	X_gene	plus
DDX3X	7437C_XY	133.4547836	DDX3X_DDX3Y	X_gene	plus
DDX3X	7448C_XY	76.570436	DDX3X_DDX3Y	X_gene	plus
DDX3X	7480C_XY	125.9933718	DDX3X_DDX3Y	X_gene	plus
DDX3X	7503C_XY	99.030995	DDX3X_DDX3Y	X_gene	plus
DDX3X	7513C_XY	136.1407598	DDX3X_DDX3Y	X_gene	plus
DDX3X	7517C_XY	118.5269365	DDX3X_DDX3Y	X_gene	plus
DDX3X	7241C_XY	95.566154	DDX3X_DDX3Y	X_gene	plus
DDX3X	7386C_XY	98.3743356	DDX3X_DDX3Y	X_gene	plus
DDX3X	7456C_XY	140.218505	DDX3X_DDX3Y	X_gene	plus
DDX3X	7507C_XY	112.525897	DDX3X_DDX3Y	X_gene	plus
DDX3Y	7517C_XY	28.5199	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7276D_XY	24.9003	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7165G_XY	40.6973	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7480C_XY	46.2653	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7437C_XY	47.2381	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7386C_XY	30.5968	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7169C_XY	38.2758	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7241C_XY	37.8522	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7513C_XY	35.7341	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7507C_XY	33.7574	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7448C_XY	20.6558	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7456C_XY	47.4221	DDX3X_DDX3Y	Y_gene	plus
DDX3Y	7378C_XY	33.1056	DDX3X_DDX3Y	Y_gene	plus
