coords	log2	sd	lower_val	upper_val	gene	orientation	type
chr6:73520747-73520797	-1.63918921047005	0	-1.63918921047005	-1.63918921047005	EEF1A1	minus	positive ctl
chr6:73520797-73520847	-1.46108709904653	0.251874421462423	-1.71296152050895	-1.2092126775841	EEF1A1	minus	positive ctl
chr6:73520847-73520897	-1.29832862657873	0.333453629720341	-1.63178225629907	-0.964874996858386	EEF1A1	minus	positive ctl
chr6:73520897-73520947	-0.35064158730929	1.91482909064478	-2.26547067795407	1.56418750333549	EEF1A1	minus	positive ctl
chr6:73520947-73520997	0.646677796032846	2.05383499826679	-1.40715720223394	2.70051279429963	EEF1A1	minus	positive ctl
chr6:73520997-73521047	1.93433662901768	2.05536040779798	-0.121023778780299	3.98969703681566	EEF1A1	minus	positive ctl
chr6:73521047-73521097	2.79739928668869	0.716388128666428	2.08101115802226	3.51378741535512	EEF1A1	minus	positive ctl
chr6:73521097-73521147	2.50951337724935	1.03868031827206	1.47083305897729	3.5481936955214	EEF1A1	minus	positive ctl
chr6:73521147-73521197	2.15678224065907	1.31396028761877	0.842821953040295	3.47074252827784	EEF1A1	minus	positive ctl
chr6:73521197-73521247	1.56951587343567	0.653241654344793	0.916274219090876	2.22275752778046	EEF1A1	minus	positive ctl
chr6:73521247-73521297	1.27570283338059	0.24311114502868	1.03259168835191	1.51881397840927	EEF1A1	minus	positive ctl
chr6:73521297-73521347	1.20463476863604	0.258755572443519	0.945879196192523	1.46339034107956	EEF1A1	minus	positive ctl
chr6:73521347-73521397	1.14958998664654	0.343571835370641	0.806018151275895	1.49316182201718	EEF1A1	minus	positive ctl
chr6:73521397-73521447	0.861235349538545	0.40853171280327	0.452703636735274	1.26976706234181	EEF1A1	minus	positive ctl
chr6:73521447-73521497	0.765594456411396	0.300857926734357	0.464736529677039	1.06645238314575	EEF1A1	minus	positive ctl
chr6:73521497-73521547	0.660550344310993	0.230511935263022	0.43003840904797	0.891062279574015	EEF1A1	minus	positive ctl
