gene	region	ratio	sum_v
DDX3X	promoter	0.25	125
DDX3X	CDS	0.0821651090342679	211
DDX3X	intron	0.159020351845464	3227
DDX3Y	promoter	0.054	27
DDX3Y	CDS	0.0262896825396825	53
DDX3Y	intron	0.057588875770694	439
EIF1AX	promoter	0.178	89
EIF1AX	CDS	0.0300925925925926	13
EIF1AX	intron	0.152222222222222	1781
EIF1AY	promoter	0.068	34
EIF1AY	CDS	0.00694444444444444	3
EIF1AY	intron	0.053167115902965	789
KDM5C	promoter	0.268	134
KDM5C	CDS	0.0846905537459283	416
KDM5C	intron	0.135156142837547	2956
KDM5D	promoter	0.088	44
KDM5D	CDS	0.0452229299363057	213
KDM5D	intron	0.0590814834959377	1738
KDM6A	promoter	0.216	108
KDM6A	CDS	0.0779046339825386	348
KDM6A	intron	0.141365006547321	32171
RPS4X	promoter	0.15	75
RPS4X	CDS	0.0621039290240811	49
RPS4X	intron	0.149230161863403	378
RPS4Y1	promoter	0.052	26
RPS4Y1	CDS	0.0366300366300366	30
RPS4Y1	intron	0.0533542565712044	1224
USP9X	promoter	0.29	145
USP9X	CDS	0.0643320363164721	496
USP9X	intron	0.144663631765301	13442
USP9Y	promoter	0.06	30
USP9Y	CDS	0.0403131115459883	309
USP9Y	intron	0.047852998932286	6409
UTY	promoter	0.07	35
UTY	CDS	0.0366063738156761	170
UTY	intron	0.0520362772832521	10540
ZFX	promoter	0.246	123
ZFX	CDS	0.0864928909952607	219
ZFX	intron	0.141329721317617	4904
ZFY	promoter	0.082	41
ZFY	CDS	0.0287141073657928	69
ZFY	intron	0.0443187385862545	995
