gene	orientation	type	log2	coords
EEF1A1	minus	positive ctl	-0.860805751132794	chr6:73520747-73520946
EEF1A1	minus	negative ctl	-1.32145089607535	chr6:73520747-73520946_shuff
EEF1A1	minus	positive ctl	-1.04974416322807	chr6:73520797-73520996
EEF1A1	minus	negative ctl	-0.831849356462288	chr6:73520797-73520996_shuff
EEF1A1	minus	positive ctl	-0.740778313796003	chr6:73520847-73521046
EEF1A1	minus	negative ctl	0.509895981546015	chr6:73520847-73521046_shuff
EEF1A1	minus	positive ctl	1.06909680505657	chr6:73520897-73521096
EEF1A1	minus	negative ctl	-0.752134988311416	chr6:73520897-73521096_shuff
EEF1A1	minus	positive ctl	3.32736315384631	chr6:73520947-73521146
EEF1A1	minus	negative ctl	-0.717316517597887	chr6:73520947-73521146_shuff
EEF1A1	minus	positive ctl	3.32393961991641	chr6:73520997-73521196
EEF1A1	minus	negative ctl	0.759951803032251	chr6:73520997-73521196_shuff
EEF1A1	minus	positive ctl	2.12526007276628	chr6:73521047-73521246
EEF1A1	minus	negative ctl	0.0800746877631892	chr6:73521047-73521246_shuff
EEF1A1	minus	positive ctl	1.4341173349863	chr6:73521097-73521296
EEF1A1	minus	negative ctl	-0.928322265362875	chr6:73521097-73521296_shuff
EEF1A1	minus	positive ctl	1.13231825277343	chr6:73521147-73521346
EEF1A1	minus	negative ctl	-0.174366461348226	chr6:73521147-73521346_shuff
EEF1A1	minus	positive ctl	0.930223996836322	chr6:73521197-73521396
EEF1A1	minus	negative ctl	0.0477953953956377	chr6:73521197-73521396_shuff
EEF1A1	minus	positive ctl	1.40617014048478	chr6:73521247-73521446
EEF1A1	minus	negative ctl	-0.0131686265781581	chr6:73521247-73521446_shuff
EEF1A1	minus	positive ctl	0.164882210572285	chr6:73521297-73521496
EEF1A1	minus	negative ctl	-0.26160621481511	chr6:73521297-73521496_shuff
EEF1A1	minus	positive ctl	0.109635512916109	chr6:73521347-73521546
EEF1A1	minus	negative ctl	-0.268684474180193	chr6:73521347-73521546_shuff
EEF1A1	minus	positive ctl	0.593394601514928	chr6:73521397-73521596
EEF1A1	minus	negative ctl	1.28433023769668	chr6:73521397-73521596_shuff
EEF1A1	minus	positive ctl	0.989066775510962	chr6:73521447-73521646
EEF1A1	minus	negative ctl	0.249449779104007	chr6:73521447-73521646_shuff
EEF1A1	minus	positive ctl	0.420838014774147	chr6:73521497-73521696
EEF1A1	minus	negative ctl	-0.417498060400906	chr6:73521497-73521696_shuff
EEF1A1	minus	positive ctl	0.0175619895729492	chr6:73521547-73521746
EEF1A1	minus	negative ctl	-0.963290012616786	chr6:73521547-73521746_shuff
EEF1A1	minus	positive ctl	0.687684526615949	chr6:73521597-73521796
EEF1A1	minus	negative ctl	-0.384322648154299	chr6:73521597-73521796_shuff
EEF1A1	minus	positive ctl	-0.254440342643847	chr6:73521647-73521846
EEF1A1	minus	negative ctl	0.217584015354137	chr6:73521647-73521846_shuff
EEF1A1	minus	positive ctl	0.0259423266644367	chr6:73521697-73521896
EEF1A1	minus	negative ctl	-0.439124925562218	chr6:73521697-73521896_shuff
EEF1A1	minus	positive ctl	-0.0641246146327968	chr6:73521747-73521946
EEF1A1	minus	negative ctl	-1.52673422894011	chr6:73521747-73521946_shuff
EEF1A1	minus	positive ctl	-0.929583185551761	chr6:73521797-73521996
EEF1A1	minus	negative ctl	-0.720439820138966	chr6:73521797-73521996_shuff
EEF1A1	minus	positive ctl	-1.23063267921063	chr6:73521847-73522046
EEF1A1	minus	negative ctl	-1.1581207208543	chr6:73521847-73522046_shuff
EEF1A1	minus	positive ctl	-1.82013892479406	chr6:73521897-73522096
EEF1A1	minus	negative ctl	-1.00180764822312	chr6:73521897-73522096_shuff
EEF1A1	minus	positive ctl	-2.07526019008455	chr6:73521947-73522146
EEF1A1	minus	negative ctl	-0.798458110638941	chr6:73521947-73522146_shuff
EEF1A1	minus	positive ctl	-1.97702853510241	chr6:73521997-73522196
EEF1A1	minus	negative ctl	-1.63462573481557	chr6:73521997-73522196_shuff
EEF1A1	minus	positive ctl	-1.61698835626398	chr6:73522047-73522246
EEF1A1	minus	negative ctl	-1.75180443515223	chr6:73522047-73522246_shuff
EEF1A1	minus	positive ctl	-1.72205147431642	chr6:73522097-73522296
EEF1A1	minus	negative ctl	-0.527486314127293	chr6:73522097-73522296_shuff
EEF1A1	minus	positive ctl	-1.58778202426989	chr6:73522147-73522346
EEF1A1	minus	negative ctl	-0.803656038298801	chr6:73522147-73522346_shuff
EEF1A1	minus	positive ctl	-0.444277441225624	chr6:73522197-73522396
EEF1A1	minus	negative ctl	-0.620375467299837	chr6:73522197-73522396_shuff
EEF1A1	minus	positive ctl	0.0635193016695651	chr6:73522247-73522446
EEF1A1	minus	negative ctl	-2.05255283446642	chr6:73522247-73522446_shuff
EEF1A1	minus	positive ctl	-1.31646743551488	chr6:73522297-73522496
EEF1A1	minus	negative ctl	-1.25385292041111	chr6:73522297-73522496_shuff
EEF1A1	minus	positive ctl	-0.357833683427344	chr6:73522347-73522546
EEF1A1	minus	negative ctl	-0.80646347648496	chr6:73522347-73522546_shuff
EEF1A1	minus	positive ctl	-0.647303220584478	chr6:73522397-73522596
EEF1A1	minus	negative ctl	-0.510713279645573	chr6:73522397-73522596_shuff
EEF1A1	minus	positive ctl	-0.0954052831127517	chr6:73522447-73522646
EEF1A1	minus	negative ctl	-1.68713639241237	chr6:73522447-73522646_shuff
EEF1A1	minus	positive ctl	-0.68387191334796	chr6:73522497-73522696
EEF1A1	minus	negative ctl	-0.531841489054153	chr6:73522497-73522696_shuff
EEF1A1	minus	positive ctl	-0.705592492967215	chr6:73522547-73522746
EEF1A1	minus	negative ctl	-0.0910869423774523	chr6:73522547-73522746_shuff
EEF1A1	minus	positive ctl	-0.630299558798399	chr6:73522597-73522796
EEF1A1	minus	negative ctl	-0.171833760532932	chr6:73522597-73522796_shuff
EEF1A1	minus	positive ctl	-0.795032090173816	chr6:73522647-73522846
EEF1A1	minus	negative ctl	0.0161518700824272	chr6:73522647-73522846_shuff
EEF1A1	minus	positive ctl	-1.21893306256019	chr6:73522697-73522896
EEF1A1	minus	negative ctl	-1.0419237555822	chr6:73522697-73522896_shuff
EEF1A1	minus	positive ctl	-0.526657409844223	chr6:73522747-73522946
EEF1A1	minus	negative ctl	0.235314183364027	chr6:73522747-73522946_shuff
EEF1A1	minus	positive ctl	-0.216837108586135	chr6:73522797-73522996
EEF1A1	minus	negative ctl	-0.659776326924175	chr6:73522797-73522996_shuff
EEF1A1	minus	positive ctl	-0.423136619866857	chr6:73522847-73523046
EEF1A1	minus	negative ctl	-1.00776865809795	chr6:73522847-73523046_shuff
EEF1A1	minus	positive ctl	-0.34549716496105	chr6:73522897-73523096
EEF1A1	minus	negative ctl	-1.12000322704733	chr6:73522897-73523096_shuff
EEF1A1	minus	positive ctl	-1.1623203613449	chr6:73522947-73523146
EEF1A1	minus	negative ctl	-0.0526859276889475	chr6:73522947-73523146_shuff
EEF1A1	minus	positive ctl	-1.07612359842505	chr6:73522997-73523196
EEF1A1	minus	negative ctl	0.0161058046400202	chr6:73522997-73523196_shuff
EEF1A1	minus	positive ctl	-0.675468582106439	chr6:73523047-73523246
EEF1A1	minus	negative ctl	-0.153901452508045	chr6:73523047-73523246_shuff
EEF1A1	minus	positive ctl	-0.965198803360897	chr6:73523097-73523296
EEF1A1	minus	negative ctl	-0.585276597667258	chr6:73523097-73523296_shuff
EEF1A1	minus	positive ctl	-0.568736599737507	chr6:73523147-73523346
EEF1A1	minus	negative ctl	-0.200621395037409	chr6:73523147-73523346_shuff
EEF1A1	minus	positive ctl	-0.78370171452419	chr6:73523197-73523396
EEF1A1	minus	negative ctl	0.910807304623243	chr6:73523197-73523396_shuff
EEF1A1	minus	positive ctl	-1.16013358283362	chr6:73523247-73523446
EEF1A1	minus	negative ctl	-0.708293013024298	chr6:73523247-73523446_shuff
EEF1A1	minus	positive ctl	-0.419081958613639	chr6:73523297-73523496
EEF1A1	minus	negative ctl	-0.459458842657971	chr6:73523297-73523496_shuff
EEF1A1	minus	positive ctl	0.111761574138979	chr6:73523347-73523546
EEF1A1	minus	negative ctl	0.354388409434017	chr6:73523347-73523546_shuff
EEF1A1	minus	positive ctl	-0.24373327944167	chr6:73523397-73523596
EEF1A1	minus	negative ctl	0.689114531225651	chr6:73523397-73523596_shuff
EEF1A1	minus	positive ctl	-0.320869211199862	chr6:73523447-73523646
EEF1A1	minus	negative ctl	-0.153754873163139	chr6:73523447-73523646_shuff
EEF1A1	minus	positive ctl	-0.223842324763155	chr6:73523497-73523696
EEF1A1	minus	negative ctl	0.656294534359457	chr6:73523497-73523696_shuff
EEF1A1	minus	positive ctl	1.72425475619684	chr6:73523547-73523746
EEF1A1	minus	negative ctl	-1.29870597415839	chr6:73523547-73523746_shuff
EEF1A1	minus	positive ctl	0.268227928473404	chr6:73523597-73523796
EEF1A1	minus	negative ctl	0.786436491359842	chr6:73523597-73523796_shuff
EEF1A1	minus	positive ctl	-0.0842413738026763	chr6:73523647-73523846
EEF1A1	minus	negative ctl	-0.249048040330364	chr6:73523647-73523846_shuff
EEF1A1	minus	positive ctl	0.217456183310184	chr6:73523697-73523896
EEF1A1	minus	negative ctl	-0.25530502734311	chr6:73523697-73523896_shuff
EEF1A1	minus	positive ctl	0.462987199837354	chr6:73523747-73523946
EEF1A1	minus	negative ctl	-0.478985221503802	chr6:73523747-73523946_shuff
EEF1A1	minus	positive ctl	0.797783049454665	chr6:73523797-73523996
EEF1A1	minus	negative ctl	-0.228101071751131	chr6:73523797-73523996_shuff
EEF1A1	minus	positive ctl	0.724484161823916	chr6:73523847-73524046
EEF1A1	minus	negative ctl	-0.815625749929121	chr6:73523847-73524046_shuff
EEF1A1	minus	positive ctl	-0.404222271403788	chr6:73523897-73524096
EEF1A1	minus	negative ctl	-0.266488607434771	chr6:73523897-73524096_shuff
EEF1A1	minus	positive ctl	-1.72471146837127	chr6:73523947-73524146
EEF1A1	minus	negative ctl	-1.96804782930149	chr6:73523947-73524146_shuff
EEF1A1	minus	positive ctl	-2.00665018392823	chr6:73523997-73524196
EEF1A1	minus	negative ctl	-1.19060859204189	chr6:73523997-73524196_shuff
EEF1A1	minus	positive ctl	-1.59819245435448	chr6:73524047-73524246
EEF1A1	minus	negative ctl	-1.3998770575925	chr6:73524047-73524246_shuff
EEF1A1	minus	positive ctl	-1.00681653009461	chr6:73524097-73524296
EEF1A1	minus	negative ctl	-1.9089403050225	chr6:73524097-73524296_shuff
EEF1A1	minus	positive ctl	-1.01693569429315	chr6:73524147-73524346
EEF1A1	minus	negative ctl	-1.77004270389055	chr6:73524147-73524346_shuff
ACTB	minus	positive ctl	-0.435728082603557	chr7:5528695-5528894
ACTB	minus	negative ctl	-1.26935309694996	chr7:5528695-5528894_shuff
ACTB	minus	positive ctl	-1.57311367058258	chr7:5528745-5528944
ACTB	minus	negative ctl	-1.1439519932313	chr7:5528745-5528944_shuff
ACTB	minus	positive ctl	-2.48552297456593	chr7:5528795-5528994
ACTB	minus	negative ctl	-1.20237382868337	chr7:5528795-5528994_shuff
ACTB	minus	positive ctl	-1.5308231029796	chr7:5528845-5529044
ACTB	minus	negative ctl	-0.965757098968682	chr7:5528845-5529044_shuff
ACTB	minus	positive ctl	-1.00044246561736	chr7:5528895-5529094
ACTB	minus	negative ctl	-1.77801303574481	chr7:5528895-5529094_shuff
ACTB	minus	positive ctl	-0.478487576200195	chr7:5528945-5529144
ACTB	minus	negative ctl	-1.31063499497103	chr7:5528945-5529144_shuff
ACTB	minus	positive ctl	-0.100963273482329	chr7:5528995-5529194
ACTB	minus	negative ctl	-1.11226470538832	chr7:5528995-5529194_shuff
ACTB	minus	positive ctl	0.120768721464934	chr7:5529045-5529244
ACTB	minus	negative ctl	0.0340430502026467	chr7:5529045-5529244_shuff
ACTB	minus	positive ctl	-0.693367010899127	chr7:5529095-5529294
ACTB	minus	negative ctl	0.319743197688161	chr7:5529095-5529294_shuff
ACTB	minus	positive ctl	-0.965235113378834	chr7:5529145-5529344
ACTB	minus	negative ctl	-0.634116605319306	chr7:5529145-5529344_shuff
ACTB	minus	positive ctl	-0.641892486284846	chr7:5529195-5529394
ACTB	minus	negative ctl	0.511402686686095	chr7:5529195-5529394_shuff
ACTB	minus	positive ctl	-0.345649648937234	chr7:5529245-5529444
ACTB	minus	negative ctl	-0.560147007509569	chr7:5529245-5529444_shuff
ACTB	minus	positive ctl	-0.291492598401328	chr7:5529295-5529494
ACTB	minus	negative ctl	-0.435183276632602	chr7:5529295-5529494_shuff
ACTB	minus	positive ctl	-0.359141897105475	chr7:5529345-5529544
ACTB	minus	negative ctl	-1.29366453807174	chr7:5529345-5529544_shuff
ACTB	minus	positive ctl	0.074786249019581	chr7:5529395-5529594
ACTB	minus	negative ctl	-0.71361742941261	chr7:5529395-5529594_shuff
ACTB	minus	positive ctl	-1.09499753092366	chr7:5529445-5529644
ACTB	minus	negative ctl	-0.918912704923934	chr7:5529445-5529644_shuff
ACTB	minus	positive ctl	-0.915584103475516	chr7:5529495-5529694
