gene	orientation	type	log2	coords
EEF1A1	minus	positive ctl	-1.63918921047005	chr6:73520747-73520946
EEF1A1	minus	negative ctl	-1.61648146276601	chr6:73520747-73520946_shuff
EEF1A1	minus	positive ctl	-1.28298498762301	chr6:73520797-73520996
EEF1A1	minus	negative ctl	-0.517203442658565	chr6:73520797-73520996_shuff
EEF1A1	minus	positive ctl	-0.972811681643126	chr6:73520847-73521046
EEF1A1	minus	negative ctl	1.11212000533278	chr6:73520847-73521046_shuff
EEF1A1	minus	positive ctl	2.49241953049902	chr6:73520897-73521096
EEF1A1	minus	negative ctl	-1.38500246266117	chr6:73520897-73521096_shuff
EEF1A1	minus	positive ctl	2.3500883228985	chr6:73520947-73521146
EEF1A1	minus	negative ctl	-0.312866163893522	chr6:73520947-73521146_shuff
EEF1A1	minus	positive ctl	3.86765034431632	chr6:73520997-73521196
EEF1A1	minus	negative ctl	1.09247184499007	chr6:73520997-73521196_shuff
EEF1A1	minus	positive ctl	2.47943894904093	chr6:73521047-73521246
EEF1A1	minus	negative ctl	-0.885075914182095	chr6:73521047-73521246_shuff
EEF1A1	minus	positive ctl	1.34087589274164	chr6:73521097-73521296
EEF1A1	minus	negative ctl	-1.04367898305926	chr6:73521097-73521296_shuff
EEF1A1	minus	positive ctl	0.939163776537379	chr6:73521147-73521346
EEF1A1	minus	negative ctl	-1.03513815642434	chr6:73521147-73521346_shuff
EEF1A1	minus	positive ctl	1.51858487542273	chr6:73521197-73521396
EEF1A1	minus	negative ctl	-0.0692585895131348	chr6:73521197-73521396_shuff
EEF1A1	minus	positive ctl	1.30418678882061	chr6:73521247-73521446
EEF1A1	minus	negative ctl	-0.133277472362359	chr6:73521247-73521446_shuff
EEF1A1	minus	positive ctl	1.05660363376345	chr6:73521297-73521496
EEF1A1	minus	negative ctl	1.7447693102166	chr6:73521297-73521496_shuff
EEF1A1	minus	positive ctl	0.718984648579359	chr6:73521347-73521546
EEF1A1	minus	negative ctl	-1.21208546402915	chr6:73521347-73521546_shuff
EEF1A1	minus	positive ctl	0.365166326990765	chr6:73521397-73521596
EEF1A1	minus	negative ctl	1.01748393127454	chr6:73521397-73521596_shuff
EEF1A1	minus	positive ctl	0.921623216312012	chr6:73521447-73521646
EEF1A1	minus	negative ctl	1.43219841617872	chr6:73521447-73521646_shuff
EEF1A1	minus	positive ctl	0.636427185361835	chr6:73521497-73521696
EEF1A1	minus	negative ctl	0.917089462674688	chr6:73521497-73521696_shuff
EEF1A1	minus	positive ctl	0.625866849476524	chr6:73521547-73521746
EEF1A1	minus	negative ctl	-0.614840593805779	chr6:73521547-73521746_shuff
EEF1A1	minus	positive ctl	0.793735646274583	chr6:73521597-73521796
EEF1A1	minus	negative ctl	-0.416103277661491	chr6:73521597-73521796_shuff
EEF1A1	minus	positive ctl	-0.825269260198679	chr6:73521647-73521846
EEF1A1	minus	negative ctl	0.889418173787729	chr6:73521647-73521846_shuff
EEF1A1	minus	positive ctl	-0.214006743046308	chr6:73521697-73521896
EEF1A1	minus	negative ctl	-0.519442005301131	chr6:73521697-73521896_shuff
EEF1A1	minus	positive ctl	0.212929456505996	chr6:73521747-73521946
EEF1A1	minus	negative ctl	-1.27387713062941	chr6:73521747-73521946_shuff
EEF1A1	minus	positive ctl	-0.497335453902295	chr6:73521797-73521996
EEF1A1	minus	negative ctl	-1.00040211862287	chr6:73521797-73521996_shuff
EEF1A1	minus	positive ctl	-0.678991209116601	chr6:73521847-73522046
EEF1A1	minus	negative ctl	1.21054474975149	chr6:73521847-73522046_shuff
EEF1A1	minus	positive ctl	-2.54259958277748	chr6:73521897-73522096
EEF1A1	minus	negative ctl	-1.84172629349617	chr6:73521897-73522096_shuff
EEF1A1	minus	positive ctl	-2.26211008247891	chr6:73521947-73522146
EEF1A1	minus	negative ctl	-0.90798201638798	chr6:73521947-73522146_shuff
EEF1A1	minus	positive ctl	-1.31945753626424	chr6:73521997-73522196
EEF1A1	minus	negative ctl	-2.41691506658911	chr6:73521997-73522196_shuff
EEF1A1	minus	positive ctl	-0.609808531889079	chr6:73522047-73522246
EEF1A1	minus	negative ctl	-1.97531893682988	chr6:73522047-73522246_shuff
EEF1A1	minus	positive ctl	-0.410728248870206	chr6:73522097-73522296
EEF1A1	minus	negative ctl	-0.955808764178127	chr6:73522097-73522296_shuff
EEF1A1	minus	positive ctl	-1.415294618108	chr6:73522147-73522346
EEF1A1	minus	negative ctl	-1.1800838621155	chr6:73522147-73522346_shuff
EEF1A1	minus	positive ctl	-1.45049222429791	chr6:73522197-73522396
EEF1A1	minus	negative ctl	-1.01588747360139	chr6:73522197-73522396_shuff
EEF1A1	minus	positive ctl	-0.841371072815169	chr6:73522247-73522446
EEF1A1	minus	negative ctl	-1.514656021163	chr6:73522247-73522446_shuff
EEF1A1	minus	positive ctl	-1.9743653718325	chr6:73522297-73522496
EEF1A1	minus	negative ctl	-1.80360880007942	chr6:73522297-73522496_shuff
