gene.x	pair	type_of_gene	direction
DDX3X	DDX3X_DDX3Y	X_gene	plus
DDX3Y	DDX3X_DDX3Y	Y_gene	plus
EIF1AX	EIF1AX_EIF1AY	X_gene	minus
EIF1AY	EIF1AX_EIF1AY	Y_gene	plus
NLGN4X	NLGN4X_NLGN4Y	X_gene	minus
NLGN4Y	NLGN4X_NLGN4Y	Y_gene	plus
KDM5C	KDM5C_KDM5D	X_gene	minus
KDM5D	KDM5C_KDM5D	Y_gene	minus
KDM6A	KDM6A_UTY	X_gene	plus
RPS4X	RPS4X_RPS4Y1	X_gene	minus
RPS4Y1	RPS4X_RPS4Y1	Y_gene	plus
TMSB4X	TMSB4X_TMSB4Y	X_gene	plus
TMSB4Y	TMSB4X_TMSB4Y	Y_gene	plus
TXLNG	TXLNG_TXLNGY	X_gene	plus
TXLNGY	TXLNG_TXLNGY	Y_gene	plus
USP9X	USP9X_USP9Y	X_gene	plus
USP9Y	USP9X_USP9Y	Y_gene	plus
UTY	KDM6A_UTY	Y_gene	minus
ZFX	ZFX_ZFY	X_gene	plus
ZFY	ZFX_ZFY	Y_gene	plus
