coords	log2	sd	lower_val	upper_val	gene	orientation	type
chr6:73520747-73520797	-0.860805751132794	0	-0.860805751132794	-0.860805751132794	EEF1A1	minus	positive ctl
chr6:73520797-73520847	-0.955274957180434	0.13359963241919	-1.08887458959962	-0.821675324761243	EEF1A1	minus	positive ctl
chr6:73520847-73520897	-0.88377607605229	0.155758469750446	-1.03953454580274	-0.728017606301844	EEF1A1	minus	positive ctl
chr6:73520897-73520947	-0.395557855775074	0.984683666484796	-1.38024152225987	0.589125810709722	EEF1A1	minus	positive ctl
chr6:73520947-73520997	0.651484370469702	2.01389351876019	-1.36240914829049	2.66537788922989	EEF1A1	minus	positive ctl
chr6:73520997-73521047	1.74490531625582	1.96916753920749	-0.224262222951664	3.71407285546331	EEF1A1	minus	positive ctl
chr6:73521047-73521097	2.46141491289639	1.0871008870977	1.3743140257987	3.54851579999409	EEF1A1	minus	positive ctl
chr6:73521097-73521147	2.55267004537882	0.936099285960903	1.61657075941792	3.48876933133973	EEF1A1	minus	positive ctl
chr6:73521147-73521197	2.0039088201106	0.973231711455596	1.03067710865501	2.9771405315662	EEF1A1	minus	positive ctl
chr6:73521197-73521247	1.40547991434058	0.522618107479864	0.882861806860717	1.92809802182045	EEF1A1	minus	positive ctl
chr6:73521247-73521297	1.22570743127021	0.239467100084862	0.986240331185344	1.46517453135507	EEF1A1	minus	positive ctl
chr6:73521297-73521347	0.908398650166704	0.532669217779491	0.375729432387213	1.44106786794619	EEF1A1	minus	positive ctl
chr6:73521347-73521397	0.652727965202374	0.626530672595201	0.0261972926071731	1.27925863779757	EEF1A1	minus	positive ctl
chr6:73521397-73521447	0.568520616372025	0.598825222468548	-0.0303046060965226	1.16734583884057	EEF1A1	minus	positive ctl
chr6:73521447-73521497	0.464244775128571	0.411292063156092	0.0529527119724788	0.875536838284663	EEF1A1	minus	positive ctl
chr6:73521497-73521547	0.528233726179036	0.366683942929138	0.161549783249898	0.894917669108174	EEF1A1	minus	positive ctl
chr6:73521547-73521597	0.505215345343247	0.40282879614146	0.102386549201787	0.908044141484706	EEF1A1	minus	positive ctl
chr6:73521597-73521647	0.528787826618502	0.412354980732129	0.116432845886372	0.941142807350631	EEF1A1	minus	positive ctl
chr6:73521647-73521697	0.2179110470798	0.418378638918889	-0.20046759183909	0.636289685998689	EEF1A1	minus	positive ctl
chr6:73521697-73521747	0.119187125052372	0.400753058124845	-0.281565933072473	0.519940183177217	EEF1A1	minus	positive ctl
chr6:73521747-73521797	0.0987654740009355	0.409640651957205	-0.310875177956269	0.50840612595814	EEF1A1	minus	positive ctl
chr6:73521797-73521847	-0.305551454040992	0.432127679077064	-0.737679133118056	0.126576225036072	EEF1A1	minus	positive ctl
chr6:73521847-73521897	-0.549599538182688	0.625866879092183	-1.17546641727487	0.0762673409094951	EEF1A1	minus	positive ctl
chr6:73521897-73521947	-1.01111985104731	0.731698013533411	-1.74281786458072	-0.2794218375139	EEF1A1	minus	positive ctl
chr6:73521947-73521997	-1.51390374491025	0.526172993317093	-2.04007673822734	-0.987730751593156	EEF1A1	minus	positive ctl
chr6:73521997-73522047	-1.77576508229791	0.378304406449139	-2.15406948874705	-1.39746067584877	EEF1A1	minus	positive ctl
chr6:73522047-73522097	-1.87235400156125	0.200054747800869	-2.07240874936212	-1.67229925376038	EEF1A1	minus	positive ctl
chr6:73522097-73522147	-1.84783213894184	0.214106558222836	-2.06193869716467	-1.633725580719	EEF1A1	minus	positive ctl
chr6:73522147-73522197	-1.72596259748818	0.177029807264109	-1.90299240475228	-1.54893279022407	EEF1A1	minus	positive ctl
chr6:73522197-73522247	-1.34277482401898	0.601766819121944	-1.94454164314092	-0.741008004897035	EEF1A1	minus	positive ctl
chr6:73522247-73522297	-0.922647909535593	0.872317511646406	-1.794965421182	-0.0503303978891871	EEF1A1	minus	positive ctl
chr6:73522297-73522347	-0.821251899835209	0.765449035947866	-1.58670093578308	-0.0558028638873432	EEF1A1	minus	positive ctl
chr6:73522347-73522397	-0.513764814624572	0.579290215478681	-1.09305503010325	0.0655254008541094	EEF1A1	minus	positive ctl
chr6:73522397-73522447	-0.564521259464285	0.580066262100395	-1.14458752156468	0.0155450026361093	EEF1A1	minus	positive ctl
chr6:73522447-73522497	-0.604252405659865	0.525595282262009	-1.12984768792187	-0.0786571233978551	EEF1A1	minus	positive ctl
chr6:73522497-73522547	-0.446103525118133	0.275557583694674	-0.721661108812807	-0.17054594142346	EEF1A1	minus	positive ctl
chr6:73522547-73522597	-0.533043227503101	0.29274838905054	-0.825791616553641	-0.240294838452561	EEF1A1	minus	positive ctl
chr6:73522597-73522647	-0.528792312056582	0.290652154475982	-0.819444466532563	-0.2381401575806	EEF1A1	minus	positive ctl
chr6:73522647-73522697	-0.703699013821848	0.0686195064835292	-0.772318520305377	-0.635079507338318	EEF1A1	minus	positive ctl
chr6:73522697-73522747	-0.837464301124906	0.263075599227774	-1.10053990035268	-0.574388701897132	EEF1A1	minus	positive ctl
chr6:73522747-73522797	-0.792730530344158	0.304867524024716	-1.09759805436887	-0.487863006319442	EEF1A1	minus	positive ctl
chr6:73522797-73522847	-0.689364917791092	0.424799652733641	-1.11416457052473	-0.264565265057451	EEF1A1	minus	positive ctl
chr6:73522847-73522897	-0.596391050214352	0.434549433312035	-1.03094048352639	-0.161841616902317	EEF1A1	minus	positive ctl
chr6:73522897-73522947	-0.378032075814566	0.130596385470162	-0.508628461284728	-0.247435690344404	EEF1A1	minus	positive ctl
chr6:73522947-73522997	-0.536947813689736	0.425506766738463	-0.962454580428199	-0.111441046951273	EEF1A1	minus	positive ctl
chr6:73522997-73523047	-0.751769436149466	0.426932614135908	-1.17870205028537	-0.324836822013558	EEF1A1	minus	positive ctl
chr6:73523047-73523097	-0.814852426709362	0.378029455923167	-1.19288188263253	-0.436822970786194	EEF1A1	minus	positive ctl
chr6:73523097-73523147	-0.969777836309323	0.212148493371391	-1.18192632968071	-0.757629342937932	EEF1A1	minus	positive ctl
chr6:73523147-73523197	-0.821381895907474	0.238535097831347	-1.05991699373882	-0.582846798076127	EEF1A1	minus	positive ctl
chr6:73523197-73523247	-0.748276424932258	0.169160476287775	-0.917436901220033	-0.579115948644483	EEF1A1	minus	positive ctl
