coords	chromosome	coords1	mpra_start	mpra_end	log2	sd	lower_val	upper_val	orientation	type	start	distance	gene
chr7:5530545-5530595	chr7	5530545-5530595	5530545	5530545	3.03626854008426	0	3.03626854008426	3.03626854008426	minus	positive ctl	5530709	164	ACTB
chr7:5530695-5530745	chr7	5530695-5530745	5530695	5530695	3.03626854008426	0	3.03626854008426	3.03626854008426	minus	positive ctl	5530709	14	ACTB
chr7:5530595-5530645	chr7	5530595-5530645	5530595	5530595	3.03626854008426	0	3.03626854008426	3.03626854008426	minus	positive ctl	5530709	114	ACTB
chr7:5530645-5530695	chr7	5530645-5530695	5530645	5530645	3.03626854008426	0	3.03626854008426	3.03626854008426	minus	positive ctl	5530709	64	ACTB
cmv:251-301	cmv	251-301	251	251	3.56661515695846	0.857645600169955	2.7089695567885	4.42426075712841	plus	positive ctl	1	250	CMV
chrX:41334074-41334124	chrX	41334074-41334124	41334074	41334074	1.65599218878741	0.283811084923522	1.37218110386389	1.93980327371093	plus	test	41334161	-87	DDX3X
chrY:12905065-12905115	chrY	12905065-12905115	12905065	12905065	1.57478787232702	0.374086122851977	1.20070174947505	1.948873995179	plus	test	12904881	184	DDX3Y
chr6:73521047-73521097	chr6	73521047-73521097	73521047	73521047	2.79739928668869	0.716388128666428	2.08101115802226	3.51378741535512	minus	positive ctl	73521032	-15	EEF1A1
chrX:20141861-20141911	chrX	20141861-20141911	20141861	20141861	1.93432654082442	0.296256076799043	1.63807046402538	2.23058261762346	minus	test	20141834	-27	EIF1AX
chrY:20575688-20575738	chrY	20575688-20575738	20575688	20575688	1.66104451564083	0.387899475596177	1.27314504004465	2.048943991237	plus	test	20575775	-87	EIF1AY
chrX:53225210-53225260	chrX	53225210-53225260	53225210	53225210	1.48650279869943	0.296009792366512	1.19049300633292	1.78251259106594	minus	test	53225206	-4	KDM5C
chrY:19744783-19744833	chrY	19744783-19744833	19744783	19744783	0.527066225985311	0.326784459787581	0.20028176619773	0.853850685772891	minus	test	19744725	-58	KDM5D
chrX:44873115-44873165	chrX	44873115-44873165	44873115	44873115	1.43166234664799	0.501719556006039	0.929942790641949	1.93338190265403	plus	test	44873187	-72	KDM6A
chrX:72277227-72277277	chrX	72277227-72277277	72277227	72277227	2.28676541798988	0.37999249020205	1.90677292778783	2.66675790819193	minus	test	72277247	20	RPS4X
chrY:2841521-2841571	chrY	2841521-2841571	2841521	2841521	2.11237612275396	0.204484455560164	1.9078916671938	2.31686057831413	plus	test	2841601	-80	RPS4Y1
chrX:41085351-41085401	chrX	41085351-41085401	41085351	41085351	2.34814495231782	0	2.34814495231782	2.34814495231782	plus	test	41085444	-93	USP9X
chrY:12662281-12662331	chrY	12662281-12662331	12662281	12662281	1.62705619144276	0.0997342103156956	1.52732198112706	1.72679040175846	plus	test	12662352	-71	USP9Y
chrY:13480062-13480112	chrY	13480062-13480112	13480062	13480062	1.27069612897372	0.806368738102894	0.464327390870828	2.07706486707662	minus	test	13479986	-76	UTY
chrX:24149700-24149750	chrX	24149700-24149750	24149700	24149700	1.33472474577252	0.217939065695671	1.11678568007685	1.55266381146819	plus	test	24149728	-28	ZFX
chrY:2935321-2935371	chrY	2935321-2935371	2935321	2935321	0.958551105640001	0.315624514260393	0.642926591379608	1.27417561990039	plus	test	2935380	-59	ZFY
