Gene (ensembl 104)	Gene (ensembl 84)	Balaton consensus calls	Avg AR across studies	# studies with XCI call	"# studies with ""Escape"" call"	"# studies with ""Subject"" call"	Revisedstatus
							
ABCB7	ABCB7	Mostly S	0.020042663	3	0	3	Subject
ABCD1	ABCD1	Mostly S	0.02776	1	0	1	Subject
ACOT9	ACOT9	S	0.00803685	4	0	4	Subject
ACSL4	ACSL4	S	0.025938133	3	0	3	Subject
AFF2	AFF2	Mostly S	0.203215909	1	1	0	Escape
AIFM1	AIFM1	S	0.006077164	3	0	3	Subject
AKAP17A	AKAP17A	PAR	0.732074035	2	2	0	Escape
ALG13	ALG13	VE	0.14178569	3	2	1	Escape
AMER1	AMER1	S	NA	0	0	0	No call
AMMECR1	AMMECR1	S	0.004280672	2	0	2	Subject
AMOT	AMOT	S	0.062896296	1	0	1	Subject
AP1S2	AP1S2	Mostly E	0.349651912	3	3	0	Escape
APEX2	APEX2	S	0.007611076	1	0	1	Subject
APOO	APOO	S	0.018755577	3	0	3	Subject
APOOL	APOOL	Mostly S	0.014676162	2	0	2	Subject
AR	AR	Mostly S	0.076411765	1	0	1	Subject
ARAF	ARAF	S	0.018110886	3	0	3	Subject
ARHGAP4	ARHGAP4	Discordant	0.049677072	3	0	3	Subject
ARHGAP6	ARHGAP6	Mostly S	0.020445404	2	0	2	Subject
ARHGEF6	ARHGEF6	S	0.0292375	1	0	1	Subject
ARHGEF9	ARHGEF9	S	NA	0	0	0	No call
ARMCX1	ARMCX1	S	0.003364688	1	0	1	Subject
ARMCX2	ARMCX2	S	0.022148253	2	0	2	Subject
ARMCX3	ARMCX3	S	0.024888112	1	0	1	Subject
ARMCX4	ARMCX4	Mostly S	0.029575382	2	0	2	Subject
ARMCX5	ARMCX5	S	NA	0	0	0	Subject
ARMCX6	ARMCX6	S	NA	0	0	0	Subject
ARSD	ARSD	Mostly E	0.27950279	2	2	0	Escape
ASMTL	ASMTL	PAR	0.677506723	4	4	0	Escape
ATG4A	ATG4A	Mostly S	0.035064	1	0	1	Subject
ATP11C	ATP11C	S	0.012593019	3	0	3	Subject
ATP6AP1	ATP6AP1	S	0.025485274	3	0	3	Subject
ATP6AP2	ATP6AP2	Mostly S	0.013471923	4	1	3	Subject
ATP7A	ATP7A	Mostly S	0.060640983	1	0	1	Subject
ATRX	ATRX	S	0.00791979	3	0	3	Subject
BCAP31	BCAP31	Mostly S	0.018333333	1	0	1	Subject
BCLAF3	CXorf23	S	0.014818182	1	0	1	Subject
BCOR	BCOR	Mostly S	0.012410273	2	0	2	Subject
BCORL1	BCORL1	S	0.017823529	1	0	1	Subject
BEX2	BEX2	S	NA	0	0	0	Subject
BEX3	NGFRAP1	S	NA	0	0	0	Subject
BEX4	BEX4	S	0.003963877	3	0	3	Subject
BEX5	BEX5	No call	NA	0	0	0	No call
BGN	BGN	S	NA	0	0	0	Subject
BHLHB9	BHLHB9	S	NA	0	0	0	Subject
BRCC3	BRCC3	Mostly S	0.024623105	2	0	2	Subject
BRWD3	BRWD3	S	0.0036625	2	0	2	Subject
BTK	BTK	S	0.01824317	3	0	3	Subject
C1GALT1C1	C1GALT1C1	S	0.012173919	2	1	1	Subject
CA5B	CA5B	Mostly E	0.246510513	2	2	0	Escape
CASK	CASK	S	0.019505735	2	0	2	Subject
CCDC120	CCDC120	S	NA	0	0	0	Subject
CCDC22	CCDC22	S	0.022150122	2	0	2	Subject
CCNQ	FAM58A	S	0.017065	1	0	1	Subject
CD99	CD99	PAR	0.587303284	3	3	0	Escape
CD99L2	CD99L2	S	0.015120375	3	0	3	Subject
CDK16	CDK16	Mostly E	0.215631963	2	2	0	Escape
CDKL5	CDKL5	Mostly S	0.071745876	2	1	1	Subject
CDR1	CDR1	S	0.151183333	1	1	0	Escape
CENPI	CENPI	S	0.006865381	4	0	4	Subject
CETN2	CETN2	S	NA	0	0	0	Subject
CFP	CFP	S	0.030037008	2	0	2	Subject
CHIC1	CHIC1	S	0.005766667	1	0	1	Subject
CHM	CHM	Discordant	0.144066861	3	2	1	Escape
CHST7	CHST7	S	0.030118149	2	0	2	Subject
CLCN5	CLCN5	S	0.016369643	2	0	2	Subject
CLIC2	CLIC2	Mostly S	0.04718717	3	0	3	Subject
CMC4	CMC4	No call	NA	0	0	0	No call
