gene	name	unique_bcs	type	LCL_log2	LCL_n_obs_bc	fib1_log2	fib1_n_obs_bc	fib2_log2	fib2_n_obs_bc
EEF1A1	chr6:73520747-73520946	190	positive ctl	-1.6392	63	-0.8745	104	-0.8471	114
EEF1A1	chr6:73520747-73520946_shuff	174	negative ctl	-1.6165	71	-1.5009	112	-1.1420	123
EEF1A1	chr6:73520797-73520996	136	positive ctl	-1.2830	75	-1.0902	98	-1.0093	103
EEF1A1	chr6:73520797-73520996_shuff	176	negative ctl	-0.5172	81	-0.8423	106	-0.8214	116
EEF1A1	chr6:73520847-73521046	136	positive ctl	-0.9728	29	-0.9309	58	-0.5507	68
EEF1A1	chr6:73520847-73521046_shuff	131	negative ctl	1.1121	55	0.6840	87	0.3358	97
EEF1A1	chr6:73520897-73521096	117	positive ctl	2.4924	53	1.2612	76	0.8770	81
EEF1A1	chr6:73520897-73521096_shuff	147	negative ctl	-1.3850	66	-0.4749	89	-1.0294	91
EEF1A1	chr6:73520947-73521146	120	positive ctl	2.3501	70	3.3774	88	3.2773	93
EEF1A1	chr6:73520947-73521146_shuff	66	negative ctl	-0.3129	41	-0.5734	51	-0.8613	54
EEF1A1	chr6:73520997-73521196	76	positive ctl	3.8677	45	3.4723	56	3.1756	62
EEF1A1	chr6:73520997-73521196_shuff	81	negative ctl	1.0925	39	0.9555	58	0.5644	62
EEF1A1	chr6:73521047-73521246	107	positive ctl	2.4794	41	2.2899	60	1.9606	68
EEF1A1	chr6:73521047-73521246_shuff	103	negative ctl	-0.8851	34	0.0710	63	0.0891	70
EEF1A1	chr6:73521097-73521296	65	positive ctl	1.3409	37	1.4327	48	1.4355	49
EEF1A1	chr6:73521097-73521296_shuff	97	negative ctl	-1.0437	36	-0.9419	63	-0.9147	69
EEF1A1	chr6:73521147-73521346	69	positive ctl	0.9392	35	1.0262	43	1.2385	50
EEF1A1	chr6:73521147-73521346_shuff	64	negative ctl	-1.0351	29	-0.3383	46	-0.0105	48
EEF1A1	chr6:73521197-73521396	64	positive ctl	1.5186	26	0.7865	42	1.0740	49
EEF1A1	chr6:73521197-73521396_shuff	115	negative ctl	-0.0693	48	0.0132	76	0.0824	85
EEF1A1	chr6:73521247-73521446	26	positive ctl	1.3042	17	1.5767	23	1.2357	26
EEF1A1	chr6:73521247-73521446_shuff	130	negative ctl	-0.1333	51	0.1478	84	-0.1741	95
EEF1A1	chr6:73521297-73521496	40	positive ctl	1.0566	21	0.2047	28	0.1251	33
EEF1A1	chr6:73521297-73521496_shuff	107	negative ctl	1.7448	36	-0.2657	48	-0.2575	58
EEF1A1	chr6:73521347-73521546	46	positive ctl	0.7190	17	-0.0495	24	0.2687	29
EEF1A1	chr6:73521347-73521546_shuff	83	negative ctl	-1.2121	29	-0.0755	53	-0.4619	57
EEF1A1	chr6:73521397-73521596	46	positive ctl	0.3652	12	0.6724	30	0.5144	33
EEF1A1	chr6:73521397-73521596_shuff	77	negative ctl	1.0175	26	1.0766	40	1.4921	48
EEF1A1	chr6:73521447-73521646	83	positive ctl	0.9216	29	1.0920	44	0.8862	51
EEF1A1	chr6:73521447-73521646_shuff	75	negative ctl	1.4322	39	0.4810	50	0.0179	53
EEF1A1	chr6:73521497-73521696	88	positive ctl	0.6364	48	0.4819	62	0.3597	66
EEF1A1	chr6:73521497-73521696_shuff	64	negative ctl	0.9171	47	-0.3589	59	-0.4761	60
EEF1A1	chr6:73521547-73521746	134	positive ctl	0.6259	68	0.0697	79	-0.0346	82
EEF1A1	chr6:73521547-73521746_shuff	87	negative ctl	-0.6148	46	-1.1138	56	-0.8127	60
EEF1A1	chr6:73521597-73521796	98	positive ctl	0.7937	48	0.4371	64	0.9383	73
EEF1A1	chr6:73521597-73521796_shuff	92	negative ctl	-0.4161	39	-0.3313	65	-0.4374	70
EEF1A1	chr6:73521647-73521846	116	positive ctl	-0.8253	41	-0.0976	80	-0.4113	88
EEF1A1	chr6:73521647-73521846_shuff	88	negative ctl	0.8894	38	0.0508	58	0.3844	53
EEF1A1	chr6:73521697-73521896	77	positive ctl	-0.2140	30	-0.2276	49	0.2795	58
EEF1A1	chr6:73521697-73521896_shuff	96	negative ctl	-0.5194	37	-0.5057	60	-0.3726	62
EEF1A1	chr6:73521747-73521946	73	positive ctl	0.2129	25	0.0155	42	-0.1438	44
EEF1A1	chr6:73521747-73521946_shuff	56	negative ctl	-1.2739	21	-1.6948	34	-1.3587	36
EEF1A1	chr6:73521797-73521996	69	positive ctl	-0.4973	40	-1.1125	49	-0.7466	52
EEF1A1	chr6:73521797-73521996_shuff	65	negative ctl	-1.0004	22	-0.6720	37	-0.7689	38
EEF1A1	chr6:73521847-73522046	66	positive ctl	-0.6790	38	-1.0610	43	-1.4002	45
EEF1A1	chr6:73521847-73522046_shuff	61	negative ctl	1.2105	36	-1.0219	43	-1.2943	46
EEF1A1	chr6:73521897-73522096	78	positive ctl	-2.5426	25	-1.7980	42	-1.8423	47
EEF1A1	chr6:73521897-73522096_shuff	77	negative ctl	-1.8417	33	-1.1460	48	-0.8576	51
EEF1A1	chr6:73521947-73522146	40	positive ctl	-2.2621	18	-1.6427	29	-2.5078	27
EEF1A1	chr6:73521947-73522146_shuff	24	negative ctl	-0.9080	13	-1.0976	19	-0.4993	22
EEF1A1	chr6:73521997-73522196	60	positive ctl	-1.3195	26	-2.0865	37	-1.8675	40
EEF1A1	chr6:73521997-73522196_shuff	74	negative ctl	-2.4169	32	-1.5640	49	-1.7052	56
EEF1A1	chr6:73522047-73522246	57	positive ctl	-0.6098	26	-1.4498	41	-1.7842	38
EEF1A1	chr6:73522047-73522246_shuff	76	negative ctl	-1.9753	37	-1.4420	47	-2.0616	52
EEF1A1	chr6:73522097-73522296	52	positive ctl	-0.4107	23	-1.6902	37	-1.7539	38
EEF1A1	chr6:73522097-73522296_shuff	80	negative ctl	-0.9558	17	-0.4618	27	-0.5931	36
EEF1A1	chr6:73522147-73522346	68	positive ctl	-1.4153	31	-1.6386	42	-1.5370	43
EEF1A1	chr6:73522147-73522346_shuff	58	negative ctl	-1.1801	28	-0.7925	42	-0.8148	42
EEF1A1	chr6:73522197-73522396	111	positive ctl	-1.4505	50	-0.3598	49	-0.5288	51
EEF1A1	chr6:73522197-73522396_shuff	68	negative ctl	-1.0159	17	-0.3748	34	-0.8660	35
EEF1A1	chr6:73522247-73522446	54	positive ctl	-0.8414	22	0.2033	34	-0.0762	36
EEF1A1	chr6:73522247-73522446_shuff	59	negative ctl	-1.5147	20	-2.1493	37	-1.9558	41
EEF1A1	chr6:73522297-73522496	32	positive ctl	-1.9744	15	-1.3870	24	-1.2459	29
EEF1A1	chr6:73522297-73522496_shuff	84	negative ctl	-1.8036	41	-1.2711	56	-1.2366	62
EEF1A1	chr6:73522347-73522546	59	positive ctl	-1.4477	25	-0.0939	39	-0.6217	43
EEF1A1	chr6:73522347-73522546_shuff	62	negative ctl	-1.6531	21	-0.7848	35	-0.8281	37
EEF1A1	chr6:73522397-73522596	81	positive ctl	-1.4247	20	-0.5396	37	-0.7550	48
EEF1A1	chr6:73522397-73522596_shuff	65	negative ctl	-0.7086	33	-0.7825	42	-0.2389	45
EEF1A1	chr6:73522447-73522646	35	positive ctl	-1.3669	16	-0.0566	27	-0.1342	30
EEF1A1	chr6:73522447-73522646_shuff	40	negative ctl	-1.9632	13	-1.3404	26	-2.0339	29
EEF1A1	chr6:73522497-73522696	18	positive ctl	0.2984	7	-0.4972	11	-0.8705	18
EEF1A1	chr6:73522497-73522696_shuff	29	negative ctl	-1.4377	7	-0.6057	15	-0.4580	18
EEF1A1	chr6:73522547-73522746	11	positive ctl	-0.0475	4	0.0211	7	-1.4323	8
EEF1A1	chr6:73522547-73522746_shuff	56	negative ctl	-0.7549	14	-0.1157	28	-0.0665	32
EEF1A1	chr6:73522597-73522796	20	positive ctl	-1.1571	7	-0.3461	8	-0.9145	11
EEF1A1	chr6:73522597-73522796_shuff	32	negative ctl	-0.9071	11	0.5528	19	-0.8964	21
EEF1A1	chr6:73522647-73522846	71	positive ctl	-0.7051	19	-0.3137	39	-1.2763	50
EEF1A1	chr6:73522647-73522846_shuff	79	negative ctl	-0.7247	28	-0.1065	51	0.1388	63
EEF1A1	chr6:73522697-73522896	42	positive ctl	-0.5026	17	-1.0325	34	-1.4054	35
EEF1A1	chr6:73522697-73522896_shuff	62	negative ctl	-0.2217	25	-1.0374	46	-1.0464	47
EEF1A1	chr6:73522747-73522946	64	positive ctl	-1.1790	25	-0.4529	37	-0.6004	45
EEF1A1	chr6:73522747-73522946_shuff	140	negative ctl	1.5599	44	0.3376	65	0.1331	79
EEF1A1	chr6:73522797-73522996	53	positive ctl	-0.6143	15	-0.1159	24	-0.3178	31
EEF1A1	chr6:73522797-73522996_shuff	24	negative ctl	-1.6667	11	-0.5397	19	-0.7798	19
EEF1A1	chr6:73522847-73523046	47	positive ctl	-0.5224	13	-0.6542	31	-0.1921	31
EEF1A1	chr6:73522847-73523046_shuff	123	negative ctl	-0.5816	45	-1.2142	59	-0.8013	65
EEF1A1	chr6:73522897-73523096	81	positive ctl	-1.2211	30	-0.4898	43	-0.2012	45
EEF1A1	chr6:73522897-73523096_shuff	96	negative ctl	-2.4215	15	-1.2937	34	-0.9463	40
EEF1A1	chr6:73522947-73523146	58	positive ctl	-1.1406	30	-1.1713	45	-1.1533	48
EEF1A1	chr6:73522947-73523146_shuff	79	negative ctl	0.2204	24	-0.1875	35	0.0821	48
EEF1A1	chr6:73522997-73523196	55	positive ctl	-2.3439	33	-1.1828	39	-0.9694	44
EEF1A1	chr6:73522997-73523196_shuff	84	negative ctl	-0.1223	33	-0.2530	48	0.2852	57
EEF1A1	chr6:73523047-73523246	113	positive ctl	-1.2069	50	-0.7887	74	-0.5623	74
EEF1A1	chr6:73523047-73523246_shuff	118	negative ctl	0.0836	44	-0.1387	63	-0.1692	73
EEF1A1	chr6:73523097-73523296	147	positive ctl	-0.2938	82	-0.8797	73	-1.0507	86
EEF1A1	chr6:73523097-73523296_shuff	119	negative ctl	0.1954	71	-0.6340	95	-0.5365	94
EEF1A1	chr6:73523147-73523346	122	positive ctl	-0.5288	63	-0.8695	77	-0.2679	82
EEF1A1	chr6:73523147-73523346_shuff	115	negative ctl	0.9820	62	-0.2724	71	-0.1289	79
EEF1A1	chr6:73523197-73523396	142	positive ctl	-0.8343	70	-0.7388	81	-0.8286	79
EEF1A1	chr6:73523197-73523396_shuff	122	negative ctl	0.0227	46	1.0073	73	0.8143	77
EEF1A1	chr6:73523247-73523446	83	positive ctl	0.1291	43	-0.9990	53	-1.3213	56
EEF1A1	chr6:73523247-73523446_shuff	178	negative ctl	-0.2825	100	-0.5295	111	-0.8871	110
EEF1A1	chr6:73523297-73523496	116	positive ctl	-1.0400	58	-0.3568	81	-0.4814	88
EEF1A1	chr6:73523297-73523496_shuff	159	negative ctl	-0.6659	43	-0.3817	75	-0.5372	88
EEF1A1	chr6:73523347-73523546	159	positive ctl	0.6345	85	0.2722	100	-0.0487	97
EEF1A1	chr6:73523347-73523546_shuff	146	negative ctl	0.1414	35	0.3039	61	0.4048	70
EEF1A1	chr6:73523397-73523596	72	positive ctl	0.0930	28	-0.2610	47	-0.2265	53
EEF1A1	chr6:73523397-73523596_shuff	114	negative ctl	1.5940	58	0.5927	83	0.7855	92
EEF1A1	chr6:73523447-73523646	73	positive ctl	0.2315	43	-0.2775	52	-0.3642	52
EEF1A1	chr6:73523447-73523646_shuff	116	negative ctl	-0.5247	42	-0.2573	70	-0.0502	76
EEF1A1	chr6:73523497-73523696	46	positive ctl	0.8859	29	-0.3162	40	-0.1315	43
EEF1A1	chr6:73523497-73523696_shuff	5	negative ctl	-0.5271	2	-0.0672	4	1.3798	4
EEF1A1	chr6:73523547-73523746	2	positive ctl	2.6097	2	3.4393	2	0.0093	2
EEF1A1	chr6:73523547-73523746_shuff	1	negative ctl	NA	NA	-0.9579	1	-1.6395	1
EEF1A1	chr6:73523597-73523796	8	positive ctl	1.3261	5	0.3679	7	0.1686	7
EEF1A1	chr6:73523597-73523796_shuff	123	negative ctl	1.3160	73	0.8032	92	0.7697	102
EEF1A1	chr6:73523647-73523846	72	positive ctl	-0.3203	37	0.0158	48	-0.1843	57
EEF1A1	chr6:73523647-73523846_shuff	108	negative ctl	-0.5199	47	-0.1663	76	-0.3318	78
EEF1A1	chr6:73523697-73523896	68	positive ctl	0.7890	39	0.1919	48	0.2431	54
EEF1A1	chr6:73523697-73523896_shuff	121	negative ctl	-0.1504	49	-0.0579	65	-0.4527	78
