gene	orientation	type	log2	coords
EEF1A1	minus	positive ctl	-0.847133711427369	chr6:73520747-73520946
EEF1A1	minus	negative ctl	-1.14196242264729	chr6:73520747-73520946_shuff
EEF1A1	minus	positive ctl	-1.00926932267429	chr6:73520797-73520996
EEF1A1	minus	negative ctl	-0.821382616351305	chr6:73520797-73520996_shuff
EEF1A1	minus	positive ctl	-0.550705183204638	chr6:73520847-73521046
EEF1A1	minus	negative ctl	0.335761208099412	chr6:73520847-73521046_shuff
EEF1A1	minus	positive ctl	0.876950480021342	chr6:73520897-73521096
EEF1A1	minus	negative ctl	-1.0293516924635	chr6:73520897-73521096_shuff
EEF1A1	minus	positive ctl	3.27729167191087	chr6:73520947-73521146
EEF1A1	minus	negative ctl	-0.861270838329568	chr6:73520947-73521146_shuff
EEF1A1	minus	positive ctl	3.17558429389438	chr6:73520997-73521196
EEF1A1	minus	negative ctl	0.564411503234941	chr6:73520997-73521196_shuff
EEF1A1	minus	positive ctl	1.9605875446901	chr6:73521047-73521246
EEF1A1	minus	negative ctl	0.0891335878292456	chr6:73521047-73521246_shuff
EEF1A1	minus	positive ctl	1.43552608539114	chr6:73521097-73521296
EEF1A1	minus	negative ctl	-0.914699756312703	chr6:73521097-73521296_shuff
EEF1A1	minus	positive ctl	1.23847326018593	chr6:73521147-73521346
EEF1A1	minus	negative ctl	-0.0104674200292344	chr6:73521147-73521346_shuff
EEF1A1	minus	positive ctl	1.07397469319432	chr6:73521197-73521396
EEF1A1	minus	negative ctl	0.0824158033931999	chr6:73521197-73521396_shuff
EEF1A1	minus	positive ctl	1.23567883957576	chr6:73521247-73521446
EEF1A1	minus	negative ctl	-0.1741060700952	chr6:73521247-73521446_shuff
EEF1A1	minus	positive ctl	0.125111226875644	chr6:73521297-73521496
EEF1A1	minus	negative ctl	-0.257486628795572	chr6:73521297-73521496_shuff
EEF1A1	minus	positive ctl	0.268728022697697	chr6:73521347-73521546
EEF1A1	minus	negative ctl	-0.461905356355535	chr6:73521347-73521546_shuff
EEF1A1	minus	positive ctl	0.514425877327675	chr6:73521397-73521596
EEF1A1	minus	negative ctl	1.4920822507619	chr6:73521397-73521596_shuff
EEF1A1	minus	positive ctl	0.886177950608384	chr6:73521447-73521646
EEF1A1	minus	negative ctl	0.0178833956424814	chr6:73521447-73521646_shuff
EEF1A1	minus	positive ctl	0.359728412153656	chr6:73521497-73521696
EEF1A1	minus	negative ctl	-0.476057553389395	chr6:73521497-73521696_shuff
EEF1A1	minus	positive ctl	-0.0345739374065216	chr6:73521547-73521746
