seqname	feature	start	end	gene_name
chrX	CDS	24172742	24172800	ZFX
chrX	CDS	24179182	24179530	ZFX
chrX	CDS	24207366	24207475	ZFX
chrX	CDS	24207711	24207855	ZFX
chrX	CDS	24208217	24208370	ZFX
chrX	CDS	24208899	24209040	ZFX
chrX	CDS	24210192	24211373	ZFX
chrX	CDS	24172742	24172800	ZFX
chrX	CDS	24173606	24173723	ZFX
chrX	CDS	24179182	24179770	ZFX
chrX	CDS	24207325	24207475	ZFX
chrX	CDS	24207711	24207855	ZFX
chrX	CDS	24208217	24208370	ZFX
chrX	CDS	24208899	24209040	ZFX
chrX	CDS	24210192	24211373	ZFX
chrX	CDS	24172742	24172800	ZFX
chrX	CDS	24179182	24179219	ZFX
chrX	CDS	24172742	24172800	ZFX
chrX	CDS	24179182	24179770	ZFX
chrX	CDS	24207325	24207475	ZFX
chrX	CDS	24207711	24207855	ZFX
chrX	CDS	24208217	24208370	ZFX
chrX	CDS	24208899	24209040	ZFX
chrX	CDS	24210192	24211373	ZFX
chrX	CDS	24172742	24172800	ZFX
chrX	CDS	24179182	24179770	ZFX
chrX	CDS	24207325	24207475	ZFX
chrX	CDS	24207711	24207855	ZFX
chrX	CDS	24208217	24208370	ZFX
chrX	CDS	24208899	24209040	ZFX
chrX	CDS	24210192	24211373	ZFX
chrX	CDS	24172742	24172800	ZFX
chrX	CDS	24179182	24179770	ZFX
chrX	CDS	24207711	24207855	ZFX
chrX	CDS	24208217	24208370	ZFX
chrX	CDS	24208899	24209040	ZFX
chrX	CDS	24210192	24211373	ZFX
chrX	CDS	41123628	41123724	USP9X
chrX	CDS	41128999	41129145	USP9X
chrX	CDS	41131456	41131536	USP9X
chrX	CDS	41134724	41134837	USP9X
chrX	CDS	41136803	41137022	USP9X
chrX	CDS	41140655	41140771	USP9X
chrX	CDS	41140965	41141217	USP9X
chrX	CDS	41141292	41141431	USP9X
chrX	CDS	41143290	41143443	USP9X
chrX	CDS	41144521	41144626	USP9X
chrX	CDS	41148368	41148575	USP9X
chrX	CDS	41150920	41151057	USP9X
chrX	CDS	41152947	41153081	USP9X
chrX	CDS	41162789	41162877	USP9X
chrX	CDS	41165871	41166214	USP9X
chrX	CDS	41167481	41167577	USP9X
chrX	CDS	41168006	41168218	USP9X
chrX	CDS	41169994	41170235	USP9X
chrX	CDS	41170469	41170619	USP9X
chrX	CDS	41171837	41171958	USP9X
chrX	CDS	41183997	41184128	USP9X
chrX	CDS	41184396	41184675	USP9X
chrX	CDS	41186516	41186642	USP9X
chrX	CDS	41187991	41188117	USP9X
chrX	CDS	41189308	41189475	USP9X
chrX	CDS	41196250	41196359	USP9X
chrX	CDS	41196591	41196738	USP9X
chrX	CDS	41197363	41197510	USP9X
chrX	CDS	41198527	41198750	USP9X
chrX	CDS	41201059	41201280	USP9X
chrX	CDS	41205302	41205493	USP9X
chrX	CDS	41210508	41210682	USP9X
chrX	CDS	41214567	41214709	USP9X
chrX	CDS	41215898	41216652	USP9X
chrX	CDS	41217219	41217343	USP9X
