name	chromosome	coord	unique_bcs	gene	orientation	type
cmv:1-200	cmv	1-200	62	CMV	plus	positive ctl
cmv:101-300	cmv	101-300	99	CMV	plus	positive ctl
cmv:151-350	cmv	151-350	83	CMV	plus	positive ctl
cmv:201-400	cmv	201-400	88	CMV	plus	positive ctl
cmv:251-450	cmv	251-450	115	CMV	plus	positive ctl
cmv:301-500	cmv	301-500	106	CMV	plus	positive ctl
cmv:51-250	cmv	51-250	119	CMV	plus	positive ctl
chr7:5528695-5528894	chr7	5528695-5528894	121	ACTB	minus	positive ctl
chr7:5528745-5528944	chr7	5528745-5528944	120	ACTB	minus	positive ctl
chr7:5528795-5528994	chr7	5528795-5528994	83	ACTB	minus	positive ctl
chr7:5528845-5529044	chr7	5528845-5529044	118	ACTB	minus	positive ctl
chr7:5528895-5529094	chr7	5528895-5529094	85	ACTB	minus	positive ctl
chr7:5528945-5529144	chr7	5528945-5529144	113	ACTB	minus	positive ctl
chr7:5528995-5529194	chr7	5528995-5529194	184	ACTB	minus	positive ctl
chr7:5529045-5529244	chr7	5529045-5529244	187	ACTB	minus	positive ctl
chr7:5529095-5529294	chr7	5529095-5529294	117	ACTB	minus	positive ctl
chr7:5529145-5529344	chr7	5529145-5529344	110	ACTB	minus	positive ctl
chr7:5529195-5529394	chr7	5529195-5529394	105	ACTB	minus	positive ctl
chr7:5529245-5529444	chr7	5529245-5529444	68	ACTB	minus	positive ctl
chr7:5529295-5529494	chr7	5529295-5529494	81	ACTB	minus	positive ctl
chr7:5529345-5529544	chr7	5529345-5529544	71	ACTB	minus	positive ctl
chr7:5529395-5529594	chr7	5529395-5529594	125	ACTB	minus	positive ctl
chr7:5529445-5529644	chr7	5529445-5529644	95	ACTB	minus	positive ctl
chr7:5529495-5529694	chr7	5529495-5529694	106	ACTB	minus	positive ctl
chr7:5529545-5529744	chr7	5529545-5529744	139	ACTB	minus	positive ctl
chr7:5529595-5529794	chr7	5529595-5529794	25	ACTB	minus	positive ctl
chr7:5529645-5529844	chr7	5529645-5529844	7	ACTB	minus	positive ctl
chr7:5529695-5529894	chr7	5529695-5529894	71	ACTB	minus	positive ctl
chr7:5529995-5530194	chr7	5529995-5530194	2	ACTB	minus	positive ctl
chr7:5530045-5530244	chr7	5530045-5530244	17	ACTB	minus	positive ctl
chr7:5530095-5530294	chr7	5530095-5530294	60	ACTB	minus	positive ctl
chr7:5530195-5530394	chr7	5530195-5530394	2	ACTB	minus	positive ctl
chr7:5530495-5530694	chr7	5530495-5530694	1	ACTB	minus	positive ctl
chr7:5530545-5530744	chr7	5530545-5530744	105	ACTB	minus	positive ctl
chr6:73520747-73520946	chr6	73520747-73520946	190	EEF1A1	minus	positive ctl
chr6:73520797-73520996	chr6	73520797-73520996	136	EEF1A1	minus	positive ctl
chr6:73520847-73521046	chr6	73520847-73521046	136	EEF1A1	minus	positive ctl
chr6:73520897-73521096	chr6	73520897-73521096	117	EEF1A1	minus	positive ctl
chr6:73520947-73521146	chr6	73520947-73521146	120	EEF1A1	minus	positive ctl
chr6:73520997-73521196	chr6	73520997-73521196	76	EEF1A1	minus	positive ctl
chr6:73521047-73521246	chr6	73521047-73521246	107	EEF1A1	minus	positive ctl
chr6:73521097-73521296	chr6	73521097-73521296	65	EEF1A1	minus	positive ctl
chr6:73521147-73521346	chr6	73521147-73521346	69	EEF1A1	minus	positive ctl
chr6:73521197-73521396	chr6	73521197-73521396	64	EEF1A1	minus	positive ctl
chr6:73521247-73521446	chr6	73521247-73521446	26	EEF1A1	minus	positive ctl
chr6:73521297-73521496	chr6	73521297-73521496	40	EEF1A1	minus	positive ctl
chr6:73521347-73521546	chr6	73521347-73521546	46	EEF1A1	minus	positive ctl
chr6:73521397-73521596	chr6	73521397-73521596	46	EEF1A1	minus	positive ctl
