coords	log2	sd	lower_val	upper_val	gene	orientation	type
chr6:73520747-73520797	-0.847133711427369	0	-0.847133711427369	-0.847133711427369	EEF1A1	minus	positive ctl
chr6:73520797-73520847	-0.928201517050829	0.114647190184523	-1.04284870723535	-0.813554326866306	EEF1A1	minus	positive ctl
chr6:73520847-73520897	-0.802369405768765	0.232536340810868	-1.03490574657963	-0.569833064957898	EEF1A1	minus	positive ctl
chr6:73520897-73520947	-0.382539434321238	0.860858633129929	-1.24339806745117	0.478319198808691	EEF1A1	minus	positive ctl
chr6:73520947-73520997	0.648566911513321	1.92778175258907	-1.27921484107575	2.57634866410239	EEF1A1	minus	positive ctl
chr6:73520997-73521047	1.69478031565549	1.86263016371025	-0.167849848054765	3.55741047936574	EEF1A1	minus	positive ctl
chr6:73521047-73521097	2.32260349762917	1.13430947370512	1.18829402392405	3.45691297133429	EEF1A1	minus	positive ctl
chr6:73521097-73521147	2.46224739897162	0.909022544213893	1.55322485475773	3.37126994318552	EEF1A1	minus	positive ctl
chr6:73521147-73521197	1.95254279604039	0.870459036864984	1.08208375917541	2.82300183290537	EEF1A1	minus	positive ctl
chr6:73521197-73521247	1.42714039586537	0.385122267168355	1.04201812869702	1.81226266303373	EEF1A1	minus	positive ctl
chr6:73521247-73521297	1.24591321958679	0.147959444067903	1.09795377551889	1.39387266365469	EEF1A1	minus	positive ctl
chr6:73521297-73521347	0.918309504957915	0.534360453844542	0.383949051113373	1.45266995880246	EEF1A1	minus	positive ctl
chr6:73521347-73521397	0.675873195585856	0.560051515316443	0.115821680269413	1.2359247109023	EEF1A1	minus	positive ctl
chr6:73521397-73521447	0.535985991619195	0.493382817652766	0.0426031739664284	1.02936880927196	EEF1A1	minus	positive ctl
chr6:73521447-73521497	0.44861076937735	0.333069774009798	0.115540995367552	0.781680543387148	EEF1A1	minus	positive ctl
chr6:73521497-73521547	0.507265065696853	0.272209010747684	0.235056054949169	0.779474076444536	EEF1A1	minus	positive ctl
chr6:73521547-73521597	0.431439575670798	0.381219447408449	0.0502201282623491	0.812659023079247	EEF1A1	minus	positive ctl
chr6:73521597-73521647	0.537401897187318	0.462265556306587	0.0751363408807306	0.999667453493905	EEF1A1	minus	positive ctl
chr6:73521647-73521697	0.213031848302053	0.5769458186643	-0.363913970362247	0.789977666966353	EEF1A1	minus	positive ctl
chr6:73521697-73521747	0.192978763172762	0.571515878530178	-0.378537115357416	0.76449464170294	EEF1A1	minus	positive ctl
chr6:73521747-73521797	0.165683671162054	0.588364976866008	-0.422681305703954	0.754048648028061	EEF1A1	minus	positive ctl
chr6:73521797-73521847	-0.255545728234606	0.433675961591386	-0.689221689825992	0.17813023335678	EEF1A1	minus	positive ctl
chr6:73521847-73521897	-0.502776692636499	0.731611232549289	-1.23438792518579	0.22883453991279	EEF1A1	minus	positive ctl
chr6:73521897-73521947	-1.03322953823515	0.744439892452169	-1.77766943068732	-0.28878964578298	EEF1A1	minus	positive ctl
chr6:73521947-73521997	-1.62424620504384	0.741310364029109	-2.36555656907295	-0.882935841014733	EEF1A1	minus	positive ctl
chr6:73521997-73522047	-1.90446905946939	0.455896287686829	-2.36036534715621	-1.44857277178256	EEF1A1	minus	positive ctl
chr6:73522047-73522097	-2.00045951041783	0.340036372992504	-2.34049588341033	-1.66042313742532	EEF1A1	minus	positive ctl
chr6:73522097-73522147	-1.97836523321683	0.356224778877299	-2.33459001209413	-1.62214045433954	EEF1A1	minus	positive ctl
chr6:73522147-73522197	-1.73565828452863	0.140887116307707	-1.87654540083634	-1.59477116822092	EEF1A1	minus	positive ctl
chr6:73522197-73522247	-1.40097539968696	0.591779006298015	-1.99275440598497	-0.809196393388943	EEF1A1	minus	positive ctl
chr6:73522247-73522297	-0.97398397270922	0.801964188943513	-1.77594816165273	-0.172019783765707	EEF1A1	minus	positive ctl
chr6:73522297-73522347	-0.846986722954037	0.665978798850679	-1.51296552180472	-0.181007924103358	EEF1A1	minus	positive ctl
chr6:73522347-73522397	-0.618171570621966	0.481590528682779	-1.09976209930474	-0.136581041939188	EEF1A1	minus	positive ctl
chr6:73522397-73522447	-0.674711273666818	0.480876241072507	-1.15558751473933	-0.193835032594312	EEF1A1	minus	positive ctl
chr6:73522447-73522497	-0.689213024681665	0.457098228188684	-1.14631125287035	-0.232114796492981	EEF1A1	minus	positive ctl
chr6:73522497-73522547	-0.59536375912791	0.323794868588585	-0.919158627716495	-0.271568890539324	EEF1A1	minus	positive ctl
chr6:73522547-73522597	-0.797997193866308	0.532290233090528	-1.33028742695684	-0.26570696077578	EEF1A1	minus	positive ctl
chr6:73522597-73522647	-0.83787750799926	0.533964297975718	-1.37184180597498	-0.303913210023542	EEF1A1	minus	positive ctl
chr6:73522647-73522697	-1.12340436305928	0.274697853482374	-1.39810221654165	-0.848706509576905	EEF1A1	minus	positive ctl
chr6:73522697-73522747	-1.2571134437215	0.238344045550541	-1.49545748927204	-1.01876939817096	EEF1A1	minus	positive ctl
chr6:73522747-73522797	-1.04914114034072	0.364251672860964	-1.41339281320168	-0.684889467479756	EEF1A1	minus	positive ctl
chr6:73522797-73522847	-0.899976024801405	0.524636934380951	-1.42461295918236	-0.375339090420454	EEF1A1	minus	positive ctl
chr6:73522847-73522897	-0.628911664106518	0.545068445698089	-1.17398010980461	-0.0838432184084287	EEF1A1	minus	positive ctl
chr6:73522897-73522947	-0.327879957055293	0.190468693337739	-0.518348650393032	-0.137411263717555	EEF1A1	minus	positive ctl
chr6:73522947-73522997	-0.466110644445474	0.46168798161837	-0.927798626063844	-0.00442266282710324	EEF1A1	minus	positive ctl
chr6:73522997-73523047	-0.629011978841279	0.504862378669563	-1.13387435751084	-0.124149600171716	EEF1A1	minus	positive ctl
chr6:73523047-73523097	-0.721560783441654	0.425809258218315	-1.14737004165997	-0.295751525223339	EEF1A1	minus	positive ctl
chr6:73523097-73523147	-0.933932624156415	0.258942127165206	-1.19287475132162	-0.674990496991209	EEF1A1	minus	positive ctl
chr6:73523147-73523197	-0.71259459111655	0.365424366634957	-1.07801895775151	-0.347170224481593	EEF1A1	minus	positive ctl
chr6:73523197-73523247	-0.677387931413568	0.338201738507373	-1.01558966992094	-0.339186192906195	EEF1A1	minus	positive ctl
chr6:73523247-73523297	-0.867133642544526	0.447379061108664	-1.31451270365319	-0.419754581435862	EEF1A1	minus	positive ctl
chr6:73523297-73523347	-0.724790361519349	0.459896679177349	-1.1846870406967	-0.264893682342	EEF1A1	minus	positive ctl
chr6:73523347-73523397	-0.669972752170115	0.538800731719214	-1.20877348388933	-0.1311720204509	EEF1A1	minus	positive ctl
chr6:73523397-73523447	-0.519439170216185	0.563267973674369	-1.08270714389055	0.043828803458184	EEF1A1	minus	positive ctl
chr6:73523447-73523497	-0.280175669842925	0.186199097768819	-0.466374767611744	-0.0939765720741067	EEF1A1	minus	positive ctl
chr6:73523497-73523547	-0.192705028805372	0.135455745828698	-0.32816077463407	-0.0572492829766745	EEF1A1	minus	positive ctl
chr6:73523547-73523597	-0.178221728173581	0.157321271472611	-0.335542999646193	-0.02090045670097	EEF1A1	minus	positive ctl
chr6:73523597-73523647	-0.0794550718815385	0.225970900514274	-0.305425972395812	0.146515828632735	EEF1A1	minus	positive ctl
chr6:73523647-73523697	-0.0344804184411442	0.158123975766443	-0.192604394207588	0.123643557325299	EEF1A1	minus	positive ctl
chr6:73523697-73523747	0.0591523307730223	0.189350633557801	-0.130198302784779	0.248502964330823	EEF1A1	minus	positive ctl
chr6:73523747-73523797	0.195467880004299	0.303386931698991	-0.107919051694692	0.49885481170329	EEF1A1	minus	positive ctl
chr6:73523797-73523847	0.316515464200553	0.376803702853307	-0.0602882386527543	0.69331916705386	EEF1A1	minus	positive ctl
